battery_level0_pct,battery_voltage0_mV,thermal_cpu0_C,thermal_batt0_C,thermal_status0,battery_plugged0,display_state0,brightness0,scenario,run_name,run_csv,report_dir,has_perfetto,perfetto_power_mean_mW,perfetto_energy_mWh,perfetto_current_mean_uA,perfetto_voltage_mean_V,perfetto_discharge_mAh,perfetto_duration_s,qc_keep,qc_reject_reasons,threads,power_mW_obs,power_mW_hat,power_mW_hat_at_ref_state,resid_mW
77.0,4158.0,42.463,33.8,0.0,,ON,55.0,S3_load_t1,20260202_214935_S3_load_t1,artifacts/runs/20260202_214935_S3_load_t1_enriched.csv,artifacts/reports/20260202_214935_S3_load_t1_enriched,1,1921.9240240629333,288.2288413829403,464359.5557612217,4.139426191577972,70.0,539.851342724,1,,1.0,1921.9240240629333,1917.4867751718366,1917.4867751718366,4.437248891096715
75.0,4136.0,43.149,33.6,0.0,,ON,55.0,S3_load_t2,20260202_215851_S3_load_t2,artifacts/runs/20260202_215851_S3_load_t2_enriched.csv,artifacts/reports/20260202_215851_S3_load_t2_enriched,1,2188.2866001851,328.182618969801,531554.3729754743,4.117780194354466,80.0,539.810199109,1,,2.0,2188.2866001851,2143.4657083413267,2143.4657083413267,44.8208918437731
74.0,4116.0,49.719,34.0,0.0,,ON,55.0,S3_load_t4,20260202_220816_S3_load_t4,artifacts/runs/20260202_220816_S3_load_t4_enriched.csv,artifacts/reports/20260202_220816_S3_load_t4_enriched,1,2546.296188338732,381.8916605583827,622326.7006015733,4.092366496992134,88.0,539.816578263,1,,4.0,2546.296188338732,2595.423574680307,2595.423574680307,-49.12738634157495
72.0,4087.0,50.803,34.9,0.0,,ON,55.0,S3_load_t6,20260202_221733_S3_load_t6,artifacts/runs/20260202_221733_S3_load_t6_enriched.csv,artifacts/reports/20260202_221733_S3_load_t6_enriched,1,2995.64316705229,449.3676613059209,737308.6534012031,4.063363257751041,112.0,539.920857955,1,,6.0,2995.64316705229,3047.3814410192876,3047.3814410192876,-51.73827396699744
69.0,4046.0,57.426,36.3,0.0,,ON,55.0,S3_load_t8,20260202_222646_S3_load_t8,artifacts/runs/20260202_222646_S3_load_t8_enriched.csv,artifacts/reports/20260202_222646_S3_load_t8_enriched,1,3550.946826931976,532.6524185538049,881304.0259139288,4.029590467376215,135.0,539.974944032,1,,8.0,3550.946826931976,3499.3393073582683,3499.3393073582683,51.60751957370758
