scenario,n,p_mean_mW_mean,p_mean_mW_std,p_mean_mW_cv,p_mean_mW_ratio_max_min,p_mean_mW_min,p_mean_mW_max
S4,3,1720.5666412154867,477.0042725539157,0.27723673185767345,1.7612860912532355,1252.524975937066,2206.054819065248
S3_load_t4,2,3345.899975011569,1130.8105196376089,0.33796901523743217,1.628052455432939,2546.296188338732,4145.503761684406
S4-1,3,1575.5998889403054,258.11190245673504,0.16381817761508746,1.3538956095330998,1277.617731605738,1729.761037482647
S2_b30_1,3,1798.8384951411383,163.4992741530342,0.09089158064754775,1.1997677945154281,1636.7219241092089,1963.6862531235536
