scenario,beta_0
S1-HS-1,0.6537645361115455
S1-HS-2,0.6537369449188933
S2_b005,0.6554953876390315
S2_b010,0.6524085325593924
S2_b060,0.6610907733711087
S2_b150,0.6665979246271118
S2_b210,0.649088280977951
S2_b255,0.6708070087459383
S2_b30_1,0.6701822382645111
S2_b90,0.6632634341065888
S3_load_t1,0.6501816248567643
S3_load_t2,0.6221826803275605
S3_load_t4,0.6768938283679311
S3_load_t6,0.6334699708548738
S3_load_t8,0.4992394896315819
S4,0.6767692897258885
S4-1,0.6706694510905413
