scenario,beta_0,beta_1,beta_2
S1-HS-1,0.15999600551834126,0.6887479493167915,0.03031429188313346
S1-HS-2,0.15881715560817575,0.7090481004266843,0.029999724894022577
S2_b005,0.15347198988261299,0.7042926253562769,0.03041745894570695
S2_b010,0.11076661803007015,0.7689906457252765,0.03211817874252339
S2_b060,0.1746748068568773,0.67027932762374,0.029662310355648844
S2_b150,0.1717825902083427,0.8758562847903109,0.025871375303126457
S2_b210,0.15025107507858984,0.5549541861210773,0.03348836097130252
S2_b255,0.20038718883895454,0.5986180131931208,0.029788640299552045
S2_b30_1,0.17857649585685675,0.6734952366510811,0.029343085647848755
S2_b90,0.16919106323084754,0.8152173751262616,0.027220251142029427
S3_load_t1,0.1282535309473837,0.6836768964612262,0.03250765261047472
S3_load_t2,0.04085162922676205,0.6013850871808945,0.03953551601526498
S3_load_t4,0.18074824514043913,0.7137625286448673,0.02988575863686171
S3_load_t6,0.148630760741957,0.6774157685494188,0.03042751717511681
S3_load_t8,0.209929175230386,0.6430379193696695,0.0221714102205838
S4,0.21263342878837163,0.513480553566431,0.030783689317848757
S4-1,0.19296580653879208,0.6293932308314043,0.0291880518080308
