ts,t_s,batt.capacity_pct,batt.charge_uah,batt.current_ua,batt.power_mw,batt.voltage_uv,power_mw_calc
7416444340255170,0.0,32.0,1553000.0,-2023000.0,7.0,3917.0,-7924.0909999999985
7416444387165016,0.046909846,32.0,1553000.0,-2023000.0,7.0,3917.0,-7924.0909999999985
7416444638325631,0.298070461,32.0,1553000.0,-1915000.0,7.0,3912.0,-7491.48
7416444888096477,0.547841307,32.0,1553000.0,-1915000.0,7.0,3912.0,-7491.48
7416445138202016,0.797946846,32.0,1553000.0,-1915000.0,7.0,3912.0,-7491.48
7416445388025708,1.047770538,32.0,1553000.0,-1915000.0,7.0,3912.0,-7491.48
7416445638062862,1.297807692,32.0,1553000.0,-1721000.0,6.0,3903.0,-6717.062999999999
7416445888034247,1.547779077,32.0,1553000.0,-1721000.0,6.0,3903.0,-6717.062999999999
7416446137736093,1.797480923,32.0,1553000.0,-1721000.0,6.0,3903.0,-6717.062999999999
7416446388422555,2.048167385,32.0,1553000.0,-1721000.0,6.0,3903.0,-6717.062999999999
7416446637516478,2.297261308,32.0,1553000.0,-1917000.0,7.0,3911.0,-7497.386999999999
7416446888115478,2.547860308,32.0,1553000.0,-1917000.0,7.0,3911.0,-7497.386999999999
7416447137785708,2.797530538,32.0,1553000.0,-1917000.0,7.0,3911.0,-7497.386999999999
7416447387926555,3.047671385,32.0,1553000.0,-1917000.0,7.0,3911.0,-7497.386999999999
7416447638134016,3.297878846,32.0,1553000.0,-1873000.0,7.0,3910.0,-7323.43
7416447888012170,3.547757,32.0,1553000.0,-1873000.0,7.0,3910.0,-7323.43
7416448138516478,3.798261308,32.0,1553000.0,-1873000.0,7.0,3910.0,-7323.43
7416448387931862,4.047676692,32.0,1555000.0,-1873000.0,7.0,3910.0,-7323.43
7416448637827785,4.297572615,32.0,1555000.0,-1895000.0,7.0,3908.0,-7405.66
7416448888253401,4.547998231,32.0,1555000.0,-1895000.0,7.0,3908.0,-7405.66
7416449138133401,4.797878231,32.0,1555000.0,-1895000.0,7.0,3908.0,-7405.66
7416449387440709,5.047185539,32.0,1555000.0,-1895000.0,7.0,3908.0,-7405.66
7416449638138862,5.297883692,32.0,1555000.0,-1887000.0,7.0,3911.0,-7380.057
7416449887375247,5.547120077,32.0,1555000.0,-1887000.0,7.0,3911.0,-7380.057
7416450137911785,5.797656615,32.0,1555000.0,-1887000.0,7.0,3911.0,-7380.057
7416450389129401,6.048874231,32.0,1555000.0,-1887000.0,7.0,3911.0,-7380.057
7416450637630324,6.297375154,32.0,1555000.0,-1910000.0,7.0,3912.0,-7471.92
7416450889890324,6.549635154,32.0,1555000.0,-1910000.0,7.0,3912.0,-7471.92
7416451137688709,6.797433539,32.0,1555000.0,-1910000.0,7.0,3912.0,-7471.92
7416451387951786,7.047696616,32.0,1555000.0,-1910000.0,7.0,3912.0,-7471.92
7416451637830247,7.297575077,32.0,1555000.0,-1929000.0,7.0,3912.0,-7546.248
7416451887812786,7.547557616,32.0,1555000.0,-1929000.0,7.0,3912.0,-7546.248
7416452138103786,7.797848616,32.0,1555000.0,-1929000.0,7.0,3912.0,-7546.248
7416452388042016,8.047786846,32.0,1555000.0,-1929000.0,7.0,3912.0,-7546.248
7416452638484786,8.298229616,32.0,1555000.0,-1806000.0,7.0,3909.0,-7059.654
7416452888166940,8.54791177,32.0,1555000.0,-1806000.0,7.0,3909.0,-7059.654
7416453138328170,8.798073,32.0,1555000.0,-1806000.0,7.0,3909.0,-7059.654
7416453387387786,9.047132616,32.0,1555000.0,-1806000.0,7.0,3909.0,-7059.654
7416453637562016,9.297306846,32.0,1559000.0,-1955000.0,7.0,3915.0,-7653.825
7416453887717401,9.547462231,32.0,1559000.0,-1955000.0,7.0,3915.0,-7653.825
7416454138401324,9.798146154,32.0,1559000.0,-1955000.0,7.0,3915.0,-7653.825
7416454388316709,10.048061539,32.0,1559000.0,-1955000.0,7.0,3915.0,-7653.825
7416454638686247,10.298431077,32.0,1559000.0,-2026000.0,7.0,3915.0,-7931.789999999999
7416454887630863,10.547375693,32.0,1559000.0,-2026000.0,7.0,3915.0,-7931.789999999999
7416455138099786,10.797844616,32.0,1559000.0,-2026000.0,7.0,3915.0,-7931.789999999999
7416455387535555,11.047280385,32.0,1559000.0,-2026000.0,7.0,3915.0,-7931.789999999999
7416455637950324,11.297695154,32.0,1559000.0,-2027000.0,7.0,3916.0,-7937.731999999999
7416455888035555,11.547780385,32.0,1559000.0,-2027000.0,7.0,3916.0,-7937.731999999999
7416456137651170,11.797396,32.0,1559000.0,-2027000.0,7.0,3916.0,-7937.731999999999
7416456387991170,12.047736,32.0,1559000.0,-2027000.0,7.0,3916.0,-7937.731999999999
7416456638341632,12.298086462,32.0,1559000.0,-1920000.0,7.0,3912.0,-7511.039999999999
7416456887861094,12.547605924,32.0,1559000.0,-1920000.0,7.0,3912.0,-7511.039999999999
7416457137743786,12.797488616,32.0,1559000.0,-1920000.0,7.0,3912.0,-7511.039999999999
7416457387865017,13.047609847,32.0,1559000.0,-1920000.0,7.0,3912.0,-7511.039999999999
7416457639529401,13.299274231,32.0,1559000.0,-1760000.0,6.0,3907.0,-6876.32
7416457887594324,13.547339154,32.0,1559000.0,-1760000.0,6.0,3907.0,-6876.32
7416458137739555,13.797484385,32.0,1559000.0,-1760000.0,6.0,3907.0,-6876.32
7416458387619555,14.047364385,32.0,1559000.0,-1760000.0,6.0,3907.0,-6876.32
7416458638421017,14.298165847,32.0,1561000.0,-1864000.0,7.0,3911.0,-7290.103999999999
7416458888316401,14.548061231,32.0,1561000.0,-1864000.0,7.0,3911.0,-7290.103999999999
7416459138389632,14.798134462,32.0,1561000.0,-1864000.0,7.0,3911.0,-7290.103999999999
7416459388174863,15.047919693,32.0,1561000.0,-1864000.0,7.0,3911.0,-7290.103999999999
7416459637954863,15.297699693,32.0,1561000.0,-1927000.0,7.0,3912.0,-7538.423999999999
7416459887555171,15.547300001,32.0,1561000.0,-1927000.0,7.0,3912.0,-7538.423999999999
7416460137858863,15.797603693,32.0,1561000.0,-1927000.0,7.0,3912.0,-7538.423999999999
7416460388225401,16.047970231,32.0,1561000.0,-1927000.0,7.0,3912.0,-7538.423999999999
7416460638070632,16.297815462,32.0,1561000.0,-1939000.0,7.0,3912.0,-7585.367999999999
7416460888187786,16.547932616,32.0,1561000.0,-1939000.0,7.0,3912.0,-7585.367999999999
7416461137792171,16.797537001,32.0,1561000.0,-1939000.0,7.0,3912.0,-7585.367999999999
7416461387596709,17.047341539,32.0,1561000.0,-1939000.0,7.0,3912.0,-7585.367999999999
7416461637711478,17.297456308,32.0,1561000.0,-1762000.0,6.0,3900.0,-6871.799999999999
7416461888565325,17.548310155,32.0,1561000.0,-1762000.0,6.0,3900.0,-6871.799999999999
7416462137398017,17.797142847,32.0,1561000.0,-1762000.0,6.0,3900.0,-6871.799999999999
7416462387542940,18.04728777,32.0,1561000.0,-1762000.0,6.0,3900.0,-6871.799999999999
7416462637998555,18.297743385,32.0,1561000.0,-2078000.0,8.0,3918.0,-8141.603999999999
7416462888625402,18.548370232,32.0,1561000.0,-2078000.0,8.0,3918.0,-8141.603999999999
7416463137926940,18.79767177,32.0,1561000.0,-2078000.0,8.0,3918.0,-8141.603999999999
7416463387480709,19.047225539,32.0,1561000.0,-2078000.0,8.0,3918.0,-8141.603999999999
7416463638119786,19.297864616,32.0,1561000.0,-2023000.0,7.0,3917.0,-7924.0909999999985
7416463887896402,19.547641232,32.0,1564000.0,-2023000.0,7.0,3917.0,-7924.0909999999985
7416464137947863,19.797692693,32.0,1564000.0,-2023000.0,7.0,3917.0,-7924.0909999999985
7416464388414325,20.048159155,32.0,1564000.0,-2023000.0,7.0,3917.0,-7924.0909999999985
7416464637835479,20.297580309,32.0,1564000.0,-1917000.0,7.0,3912.0,-7499.303999999999
7416464888032479,20.547777309,32.0,1564000.0,-1917000.0,7.0,3912.0,-7499.303999999999
7416465137513709,20.797258539,32.0,1564000.0,-1917000.0,7.0,3912.0,-7499.303999999999
7416465387838863,21.047583693,32.0,1564000.0,-1917000.0,7.0,3912.0,-7499.303999999999
7416465637789094,21.297533924,32.0,1564000.0,-1668000.0,6.0,3905.0,-6513.54
7416465887990325,21.547735155,32.0,1564000.0,-1668000.0,6.0,3905.0,-6513.54
7416466137529094,21.797273924,32.0,1564000.0,-1668000.0,6.0,3905.0,-6513.54
7416466388074017,22.047818847,32.0,1564000.0,-1668000.0,6.0,3905.0,-6513.54
7416466637836786,22.297581616,32.0,1564000.0,-1812000.0,7.0,3909.0,-7083.108
7416466887785940,22.54753077,32.0,1564000.0,-1812000.0,7.0,3909.0,-7083.108
7416467138373633,22.798118463,32.0,1564000.0,-1812000.0,7.0,3909.0,-7083.108
7416467388582017,23.048326847,32.0,1564000.0,-1812000.0,7.0,3909.0,-7083.108
7416467638183863,23.297928693,32.0,1564000.0,-2089000.0,8.0,3917.0,-8182.613
7416467887621094,23.547365924,32.0,1564000.0,-2089000.0,8.0,3917.0,-8182.613
7416468137555556,23.797300386,32.0,1564000.0,-2089000.0,8.0,3917.0,-8182.613
7416468387638017,24.047382847,32.0,1564000.0,-2089000.0,8.0,3917.0,-8182.613
7416468638281940,24.29802677,32.0,1564000.0,-2074000.0,8.0,3917.0,-8123.858
7416468887847864,24.547592694,32.0,1567000.0,-2074000.0,8.0,3917.0,-8123.858
7416469138777940,24.79852277,32.0,1567000.0,-2074000.0,8.0,3917.0,-8123.858
7416469387509017,25.047253847,32.0,1567000.0,-2074000.0,8.0,3917.0,-8123.858
7416469637785402,25.297530232,32.0,1567000.0,-2030000.0,7.0,3917.0,-7951.51
7416469888352787,25.548097617,32.0,1567000.0,-2030000.0,7.0,3917.0,-7951.51
7416470137825941,25.797570771,32.0,1567000.0,-2030000.0,7.0,3917.0,-7951.51
7416470387922941,26.047667771,32.0,1567000.0,-2030000.0,7.0,3917.0,-7951.51
7416470638412479,26.298157309,32.0,1567000.0,-1920000.0,7.0,3913.0,-7512.960000000001
7416470887954556,26.547699386,32.0,1567000.0,-1920000.0,7.0,3913.0,-7512.960000000001
7416471137418018,26.797162848,32.0,1567000.0,-1920000.0,7.0,3913.0,-7512.960000000001
7416471387477018,27.047221848,32.0,1567000.0,-1920000.0,7.0,3913.0,-7512.960000000001
7416471638347556,27.298092386,32.0,1567000.0,-1919000.0,7.0,3913.0,-7509.047
7416471888529710,27.54827454,32.0,1567000.0,-1919000.0,7.0,3913.0,-7509.047
7416472138039248,27.797784078,32.0,1567000.0,-1919000.0,7.0,3913.0,-7509.047
7416472388534633,28.048279463,32.0,1567000.0,-1919000.0,7.0,3913.0,-7509.047
7416472637489633,28.297234463,32.0,1567000.0,-1902000.0,7.0,3912.0,-7440.624
7416472888112710,28.54785754,32.0,1567000.0,-1902000.0,7.0,3912.0,-7440.624
7416473137931864,28.797676694,32.0,1567000.0,-1902000.0,7.0,3912.0,-7440.624
