freq_khz,power_ma
400000,47.67
500000,51.96
600000,55.21
700000,58.12
800000,64.1
900000,71.36
1000000,79.3
1100000,87.33
1200000,96.78
1300000,106.99
1400000,116.11
1500000,129.0
1600000,142.31
1700000,158.08
1800000,173.26
1900000,181.16
2000000,193.48
2100000,215.69
2200000,231.65
2300000,252.0
2400000,280.04
2500000,297.59
2600000,319.13
2660000,335.04
2800000,365.17
2850000,383.71
2900000,408.89
3000000,470.19
3100000,544.42
3200000,586.8
