freq_khz,power_ma
480000,38.52
600000,41.32
700000,42.84
800000,44.34
900000,47.1
1000000,49.91
1100000,53.82
1200000,58.48
1300000,61.86
1400000,64.86
1500000,69.66
1600000,75.43
1700000,81.35
1800000,87.5
1900000,92.69
2000000,98.33
2100000,105.69
2200000,113.29
