ts,t_s,batt.capacity_pct,batt.charge_uah,batt.current_ua,batt.power_mw,batt.voltage_uv,power_mw_calc
7416589387824486,14.251640616,34.0,1629000.0,-1742000.0,6.0,3913.0,-6816.446
7416589638421640,14.50223777,34.0,1629000.0,-1835000.0,7.0,3916.0,-7185.86
7416589888483563,14.752299693,34.0,1629000.0,-1835000.0,7.0,3916.0,-7185.86
7416590138018640,15.00183477,34.0,1629000.0,-1835000.0,7.0,3916.0,-7185.86
7416590388003871,15.251820001,34.0,1629000.0,-1835000.0,7.0,3916.0,-7185.86
7416590637532794,15.501348924,34.0,1629000.0,-2012000.0,7.0,3923.0,-7893.076
7416590887464102,15.751280232,34.0,1629000.0,-2012000.0,7.0,3923.0,-7893.076
7416591138299255,16.002115385,34.0,1629000.0,-2012000.0,7.0,3923.0,-7893.076
7416591388109717,16.251925847,34.0,1629000.0,-2012000.0,7.0,3923.0,-7893.076
7416591638061640,16.50187777,34.0,1629000.0,-1899000.0,7.0,3919.0,-7442.1810000000005
7416591887633332,16.751449462,34.0,1632000.0,-1899000.0,7.0,3919.0,-7442.1810000000005
7416592138155563,17.001971693,34.0,1632000.0,-1899000.0,7.0,3919.0,-7442.1810000000005
7416592387949948,17.251766078,34.0,1632000.0,-1899000.0,7.0,3919.0,-7442.1810000000005
7416592637650563,17.501466693,34.0,1632000.0,-1724000.0,6.0,3909.0,-6739.116
7416592887809102,17.751625232,34.0,1632000.0,-1724000.0,6.0,3909.0,-6739.116
7416593137458948,18.001275078,34.0,1632000.0,-1724000.0,6.0,3909.0,-6739.116
7416593388168717,18.251984847,34.0,1632000.0,-1724000.0,6.0,3909.0,-6739.116
7416593638331179,18.502147309,34.0,1632000.0,-1865000.0,7.0,3918.0,-7307.070000000001
7416593888240409,18.752056539,34.0,1632000.0,-1865000.0,7.0,3918.0,-7307.070000000001
7416594138044794,19.001860924,34.0,1632000.0,-1865000.0,7.0,3918.0,-7307.070000000001
7416594388245948,19.252062078,34.0,1632000.0,-1865000.0,7.0,3918.0,-7307.070000000001
7416594637821640,19.50163777,34.0,1632000.0,-2007000.0,7.0,3924.0,-7875.468000000001
7416594888551179,19.752367309,34.0,1632000.0,-2007000.0,7.0,3924.0,-7875.468000000001
7416595137744410,20.00156054,34.0,1632000.0,-2007000.0,7.0,3924.0,-7875.468000000001
7416595387533333,20.251349463,34.0,1632000.0,-2007000.0,7.0,3924.0,-7875.468000000001
7416595637664179,20.501480309,34.0,1632000.0,-2004000.0,7.0,3923.0,-7861.692
7416595888256410,20.75207254,34.0,1632000.0,-2004000.0,7.0,3923.0,-7861.692
7416596138456102,21.002272232,34.0,1632000.0,-2004000.0,7.0,3923.0,-7861.692
7416596388052102,21.251868232,34.0,1632000.0,-2004000.0,7.0,3923.0,-7861.692
7416596638402640,21.50221877,34.0,1632000.0,-1910000.0,7.0,3922.0,-7491.0199999999995
7416596887782025,21.751598155,34.0,1635000.0,-1910000.0,7.0,3922.0,-7491.0199999999995
7416597138095487,22.001911617,34.0,1635000.0,-1910000.0,7.0,3922.0,-7491.0199999999995
7416597388066871,22.251883001,34.0,1635000.0,-1910000.0,7.0,3922.0,-7491.0199999999995
7416597637846564,22.501662694,34.0,1635000.0,-2017000.0,7.0,3924.0,-7914.708
7416597887969717,22.751785847,34.0,1635000.0,-2017000.0,7.0,3924.0,-7914.708
7416598137905410,23.00172154,34.0,1635000.0,-2017000.0,7.0,3924.0,-7914.708
7416598388824794,23.252640924,34.0,1635000.0,-2017000.0,7.0,3924.0,-7914.708
7416598637971487,23.501787617,34.0,1635000.0,-2009000.0,7.0,3924.0,-7883.316
7416598888300717,23.752116847,34.0,1635000.0,-2009000.0,7.0,3924.0,-7883.316
7416599137954871,24.001771001,34.0,1635000.0,-2009000.0,7.0,3924.0,-7883.316
7416599387765948,24.251582078,34.0,1635000.0,-2009000.0,7.0,3924.0,-7883.316
7416599638086025,24.501902155,34.0,1635000.0,-1859000.0,7.0,3918.0,-7283.562
7416599887720794,24.751536924,34.0,1635000.0,-1859000.0,7.0,3918.0,-7283.562
7416600138036102,25.001852232,34.0,1635000.0,-1859000.0,7.0,3918.0,-7283.562
7416600388003256,25.251819386,34.0,1635000.0,-1859000.0,7.0,3918.0,-7283.562
7416600638191794,25.502007924,34.0,1635000.0,-1878000.0,7.0,3918.0,-7358.004
7416600887803564,25.751619694,34.0,1635000.0,-1878000.0,7.0,3918.0,-7358.004
7416601137466256,26.001282386,34.0,1635000.0,-1878000.0,7.0,3918.0,-7358.004
7416601388272718,26.252088848,34.0,1635000.0,-1878000.0,7.0,3918.0,-7358.004
7416601637803871,26.501620001,34.0,1635000.0,-1891000.0,7.0,3919.0,-7410.829000000001
7416601887971179,26.751787309,34.0,1635000.0,-1891000.0,7.0,3919.0,-7410.829000000001
7416602137701025,27.001517155,34.0,1637000.0,-1891000.0,7.0,3919.0,-7410.829000000001
7416602387884102,27.251700232,34.0,1637000.0,-1891000.0,7.0,3919.0,-7410.829000000001
7416602637531487,27.501347617,34.0,1637000.0,-1882000.0,7.0,3919.0,-7375.558
7416602887978564,27.751794694,34.0,1637000.0,-1882000.0,7.0,3919.0,-7375.558
7416603137281410,28.00109754,34.0,1637000.0,-1882000.0,7.0,3919.0,-7375.558
7416603388020179,28.251836309,34.0,1637000.0,-1882000.0,7.0,3919.0,-7375.558
7416603637900179,28.501716309,34.0,1637000.0,-1859000.0,7.0,3918.0,-7283.562
7416603887849949,28.751666079,34.0,1637000.0,-1859000.0,7.0,3918.0,-7283.562
7416604138213718,29.002029848,34.0,1637000.0,-1859000.0,7.0,3918.0,-7283.562
7416604387542025,29.251358155,34.0,1637000.0,-1859000.0,7.0,3918.0,-7283.562
7416604637867564,29.501683694,34.0,1637000.0,-1904000.0,7.0,3920.0,-7463.679999999999
7416604887707872,29.751524002,34.0,1637000.0,-1904000.0,7.0,3920.0,-7463.679999999999
7416605137609949,30.001426079,34.0,1637000.0,-1904000.0,7.0,3920.0,-7463.679999999999
7416605387924410,30.25174054,34.0,1637000.0,-1904000.0,7.0,3920.0,-7463.679999999999
7416605638247872,30.502064002,34.0,1637000.0,-1833000.0,7.0,3913.0,-7172.5289999999995
7416605887749026,30.751565156,34.0,1637000.0,-1833000.0,7.0,3913.0,-7172.5289999999995
7416606137392718,31.001208848,34.0,1637000.0,-1833000.0,7.0,3913.0,-7172.5289999999995
7416606388195564,31.252011694,34.0,1637000.0,-1833000.0,7.0,3913.0,-7172.5289999999995
7416606638435872,31.502252002,34.0,1637000.0,-1949000.0,7.0,3921.0,-7642.0289999999995
7416606887342026,31.751158156,34.0,1637000.0,-1949000.0,7.0,3921.0,-7642.0289999999995
7416607138188718,32.002004848,34.0,1640000.0,-1949000.0,7.0,3921.0,-7642.0289999999995
7416607388093641,32.251909771,34.0,1640000.0,-1949000.0,7.0,3921.0,-7642.0289999999995
7416607638965641,32.502781771,34.0,1640000.0,-2047000.0,8.0,3925.0,-8034.4749999999985
7416607888263795,32.752079925,34.0,1640000.0,-2047000.0,8.0,3925.0,-8034.4749999999985
7416608137730872,33.001547002,34.0,1640000.0,-2047000.0,8.0,3925.0,-8034.4749999999985
7416608387559564,33.251375694,34.0,1640000.0,-2047000.0,8.0,3925.0,-8034.4749999999985
7416608637749026,33.501565156,34.0,1640000.0,-1913000.0,7.0,3920.0,-7498.959999999999
7416608887542949,33.751359079,34.0,1640000.0,-1913000.0,7.0,3920.0,-7498.959999999999
7416609137671872,34.001488002,34.0,1640000.0,-1913000.0,7.0,3920.0,-7498.959999999999
7416609388156410,34.25197254,34.0,1640000.0,-1913000.0,7.0,3920.0,-7498.959999999999
7416609638001718,34.501817848,34.0,1640000.0,-1827000.0,7.0,3920.0,-7161.84
7416609887442333,34.751258463,34.0,1640000.0,-1827000.0,7.0,3920.0,-7161.84
7416610138131564,35.001947694,34.0,1640000.0,-1827000.0,7.0,3920.0,-7161.84
7416610387941026,35.251757156,34.0,1640000.0,-1827000.0,7.0,3920.0,-7161.84
7416610637566257,35.501382387,34.0,1640000.0,-1880000.0,7.0,3919.0,-7367.719999999999
7416610888615257,35.752431387,34.0,1640000.0,-1880000.0,7.0,3919.0,-7367.719999999999
7416611138385641,36.002201771,34.0,1640000.0,-1880000.0,7.0,3919.0,-7367.719999999999
7416611388098641,36.251914771,34.0,1640000.0,-1880000.0,7.0,3919.0,-7367.719999999999
7416611637944411,36.501760541,34.0,1640000.0,-2015000.0,7.0,3924.0,-7906.86
7416611887635795,36.751451925,34.0,1640000.0,-2015000.0,7.0,3924.0,-7906.86
7416612137508103,37.001324233,34.0,1640000.0,-2015000.0,7.0,3924.0,-7906.86
7416612387633949,37.251450079,34.0,1642000.0,-2015000.0,7.0,3924.0,-7906.86
7416612638135564,37.501951694,34.0,1642000.0,-1897000.0,7.0,3922.0,-7440.034000000001
7416612888016103,37.751832233,34.0,1642000.0,-1897000.0,7.0,3922.0,-7440.034000000001
