run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,display_state,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt,cpu_policy0_energy_mJ,cpu_policy0_energy_mJ_matched,cpu_policy0_energy_mJ_unmatched,cpu_policy0_avg_power_mW,cpu_policy0_unmatched_dt_ms,cpu_policy4_energy_mJ,cpu_policy4_energy_mJ_matched,cpu_policy4_energy_mJ_unmatched,cpu_policy4_avg_power_mW,cpu_policy4_unmatched_dt_ms,cpu_policy7_energy_mJ,cpu_policy7_energy_mJ_matched,cpu_policy7_energy_mJ_unmatched,cpu_policy7_avg_power_mW,cpu_policy7_unmatched_dt_ms,cpu_energy_mJ_total,battery_discharge_energy_mJ,dt_s
20260131_154945,0,2026-01-31T15:49:45+08:00,S2_b90,,32,100,3783,319,1550000,90,0,,,0,31.8,40.688,40.688,40.688,34.421,35.2,40.688,40.688,4,3,4,6,1,3,2,0,3,1,12,0,0,76,13,10,8,6,2,2,5,4,3,4,1,3,3,3,1,3,1,2,0,3,2,1,8,0,0,0,0,0,77,8,4,4,4,4,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28.208,28.208,0.000,185.577,0,57.631,57.631,0.000,379.154,0,106.549,106.549,0.000,724.821,0,192.388,,
20260131_154945,1,2026-01-31T15:49:49+08:00,S2_b90,,32,100,3783,319,1550000,90,0,,,0,31.8,38.548,38.548,38.548,34.338,34.893,38.548,38.548,8,10,13,10,7,8,3,2,4,4,56,0,0,140,33,25,15,16,6,9,5,4,4,5,6,2,3,1,1,2,1,1,2,3,2,1,10,0,0,0,0,0,215,24,21,9,10,5,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.595,72.595,0.000,205.072,0,100.313,100.313,0.000,284.980,0,250.616,250.616,0.000,703.978,0,423.525,-0.000,4.000
20260131_154945,2,2026-01-31T15:49:52+08:00,S2_b90,,32,100,3783,319,1550000,90,0,,,0,31.8,39.416,39.416,39.416,34.255,34.69,39.416,39.416,9,16,6,7,5,5,7,8,3,6,53,0,0,146,32,23,16,8,9,5,4,12,5,4,4,7,3,3,2,3,4,4,3,1,1,1,9,0,0,0,0,0,213,20,12,9,7,7,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.852,71.852,0.000,205.292,0,106.040,106.040,0.000,301.251,0,248.504,248.504,0.000,703.978,0,426.397,-0.000,3.000
20260131_154945,3,2026-01-31T15:49:56+08:00,S2_b90,,32,100,3783,319,1550000,90,0,,,0,31.8,40.594,40.594,40.594,34.18,34.631,40.594,40.594,10,10,12,12,13,5,5,4,5,2,55,0,0,122,36,23,20,18,8,4,6,4,6,4,4,3,4,3,3,2,3,7,4,1,3,2,12,0,0,0,0,0,212,19,17,8,10,5,0,0,0,0,0,0,0,0,343,1,2,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,73.062,73.062,0.000,207.563,0,113.027,113.027,0.000,319.286,0,253.440,253.440,0.000,720.001,0,439.530,-0.000,4.000
20260131_154945,4,2026-01-31T15:49:59+08:00,S2_b90,,32,100,3783,319,1550000,90,0,,,0,31.8,39.838,39.838,39.838,34.144,34.54,39.838,39.838,9,16,10,7,5,8,7,3,2,1,64,0,0,137,31,22,19,11,5,5,3,3,6,5,5,3,1,6,2,3,3,3,2,3,2,1,11,0,0,0,0,0,208,23,14,12,13,7,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.404,73.404,0.000,208.536,0,106.203,106.203,0.000,304.307,0,247.800,247.800,0.000,703.978,0,427.408,-0.000,3.000
20260131_154945,5,2026-01-31T15:50:03+08:00,S2_b90,,32,100,3783,319,1550000,90,0,,,0,31.8,39.406,39.406,39.406,34.114,34.52,39.406,39.406,14,14,14,14,5,10,6,2,2,2,51,0,0,123,36,26,17,11,5,5,4,4,5,6,3,6,4,3,4,1,4,4,5,2,2,1,17,0,0,0,0,0,195,21,14,12,12,7,0,0,0,0,0,0,0,0,333,1,0,0,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,70.967,70.967,0.000,204.517,0,116.673,116.673,0.000,337.205,0,246.377,246.377,0.000,720.401,0,434.017,-0.000,4.000
20260131_154945,6,2026-01-31T15:50:06+08:00,S2_b90,,32,100,3783,319,1550000,90,0,,,0,31.8,39.573,39.573,39.573,34.099,34.502,39.573,39.573,10,11,7,10,2,8,7,3,10,2,59,0,0,139,28,25,17,14,8,7,7,4,6,5,3,5,2,3,2,3,3,1,1,1,1,0,7,0,0,0,0,0,218,21,17,13,10,6,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.524,73.524,0.000,208.875,0,96.393,96.393,0.000,272.296,0,250.616,250.616,0.000,703.978,0,420.533,-0.000,3.000
20260131_154945,7,2026-01-31T15:50:10+08:00,S2_b90,,32,100,3783,319,1550000,90,0,,,0,31.8,38.556,38.556,38.338,34.087,34.445,38.338,38.338,16,14,14,14,3,5,3,2,7,1,49,0,0,123,35,20,30,18,8,6,7,3,6,6,5,6,6,7,3,4,4,6,2,1,1,1,6,0,0,0,0,0,207,20,12,6,11,7,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.540,71.540,0.000,202.091,0,107.069,107.069,0.000,305.039,0,246.392,246.392,0.000,703.978,0,425.001,-0.000,4.000
20260131_154945,8,2026-01-31T15:50:13+08:00,S2_b90,,32,100,3783,319,1550000,90,0,,,0,31.8,38.233,38.233,38.233,34.063,34.46,38.233,38.233,8,13,12,10,6,4,3,3,3,4,48,0,0,138,39,24,20,16,9,5,6,5,6,9,6,6,5,6,3,3,4,2,2,2,1,0,17,0,0,0,0,0,182,20,16,9,13,12,0,0,0,0,0,0,0,0,346,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70.009,70.009,0.000,199.457,0,117.390,117.390,0.000,336.360,0,248.956,248.956,0.000,711.302,0,436.355,-0.000,3.000
20260131_154945,9,2026-01-31T15:50:17+08:00,S2_b90,,32,100,3783,319,1550000,90,0,,,0,32.1,41.248,41.248,41.248,34.057,34.425,41.248,41.248,13,14,10,15,9,3,3,3,5,3,57,0,0,124,33,23,19,15,8,5,3,5,4,3,3,6,4,4,1,2,2,2,2,2,1,2,7,0,0,0,0,0,224,18,12,14,13,9,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.531,72.531,0.000,207.824,0,99.867,99.867,0.000,280.524,0,251.320,251.320,0.000,703.978,0,423.718,-0.000,4.000
