run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,batteryproperties_current_now_uA,batteryproperties_current_average_uA,batteryproperties_energy_counter,batteryproperties_charge_counter_uAh,display_state,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt
20260131_150336,10,2026-01-31T15:04:13+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,40.969,40.969,40.969,35.918,36.244,40.969,40.969,10,13,15,13,7,12,6,2,6,67,0,0,0,108,33,25,25,18,5,6,7,5,4,6,2,1,2,2,1,1,1,2,2,5,0,0,0,0,0,0,0,0,255,19,14,9,6,6,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,11,2026-01-31T15:04:17+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,45.322,45.322,45.322,35.865,36.241,45.322,45.322,7,19,11,10,4,6,2,5,4,90,0,0,0,105,42,25,20,14,5,2,6,5,4,5,5,5,6,3,3,4,3,5,1,16,0,0,0,0,0,0,0,0,233,23,11,7,6,6,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,12,2026-01-31T15:04:20+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,42.234,42.234,42.234,35.832,36.194,42.234,42.234,9,18,11,14,7,11,3,2,5,58,0,0,0,118,45,27,22,17,5,10,7,4,10,5,6,4,4,5,3,5,2,3,3,16,0,0,0,0,0,0,0,0,215,23,11,9,5,8,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,13,2026-01-31T15:04:24+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,41.502,41.502,41.502,35.793,36.179,41.502,41.502,7,12,13,19,5,9,3,1,2,71,0,0,0,116,38,26,22,17,3,6,10,6,8,9,5,5,5,5,3,1,2,1,1,12,0,0,0,0,0,0,0,0,223,27,12,6,8,8,0,0,0,0,0,0,0,0,360,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,14,2026-01-31T15:04:28+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,40.861,40.861,40.861,35.762,36.117,40.861,40.861,15,14,14,13,4,7,7,3,6,61,0,0,0,121,42,22,18,17,4,5,4,4,3,6,5,3,2,3,2,4,5,6,4,15,0,0,0,0,0,0,0,0,232,26,14,6,9,3,0,0,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,15,2026-01-31T15:04:31+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,45.813,45.813,45.813,35.751,36.148,45.813,45.813,14,13,19,12,4,12,7,3,4,77,0,0,0,100,34,29,22,17,9,3,4,5,6,6,10,6,6,4,3,7,4,2,3,34,0,0,0,0,0,0,0,0,200,22,8,8,7,7,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,16,2026-01-31T15:04:35+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,42.807,42.807,42.807,35.736,36.11,42.807,42.807,5,10,9,10,7,4,6,2,5,118,0,0,0,90,29,23,18,19,6,3,6,1,6,4,0,2,0,2,0,1,1,8,0,4,0,0,0,0,0,0,0,0,244,21,16,10,10,11,0,0,0,0,0,0,0,0,354,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,17,2026-01-31T15:04:38+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,41.337,41.337,42.054,35.726,36.117,42.054,42.054,6,16,11,11,4,5,7,3,7,66,0,0,0,120,40,25,28,15,6,6,9,4,4,8,6,5,2,3,2,3,3,2,1,14,0,0,0,0,0,0,0,0,234,24,10,4,6,6,0,0,0,0,0,0,0,0,356,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,18,2026-01-31T15:04:42+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.5,41.532,41.277,41.277,35.698,36.036,41.277,41.277,10,19,9,11,7,7,7,7,4,47,0,0,0,121,42,28,24,25,6,3,6,3,7,9,5,6,3,3,2,3,3,5,2,15,0,0,0,0,0,0,0,0,221,25,16,8,9,9,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,19,2026-01-31T15:04:46+08:00,S2_b90,,38,100,3797,335,1830000,90,0,,,,,,,0,33.5,41.412,41.412,41.412,35.661,36.039,41.412,41.412,15,14,6,13,9,8,7,3,4,69,0,0,0,110,39,27,21,16,4,7,2,2,4,5,4,2,4,2,1,9,2,4,2,20,0,0,0,0,0,0,0,0,232,23,12,9,7,4,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,20,2026-01-31T15:04:49+08:00,S2_b90,,38,100,3797,335,1830000,90,0,,,,,,,0,33.5,40.733,40.733,40.733,35.633,35.943,40.495,40.495,6,18,8,18,7,6,2,3,6,58,0,0,0,114,42,26,29,19,5,5,6,3,5,5,2,5,4,6,4,5,2,1,4,19,0,0,0,0,0,0,0,0,230,25,16,4,4,2,0,0,0,0,0,0,0,0,350,0,1,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,21,2026-01-31T15:04:53+08:00,S2_b90,,38,100,3797,335,1830000,90,0,,,,,,,0,33.5,44.999,45.23,45.23,35.602,35.885,45.23,45.23,7,16,12,8,6,6,6,2,3,65,0,0,0,124,38,28,28,16,5,6,4,4,7,4,5,7,2,4,1,4,6,2,2,14,0,0,0,0,0,0,0,0,228,18,18,8,8,6,0,0,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,22,2026-01-31T15:04:57+08:00,S2_b90,,38,100,3797,335,1830000,90,0,,,,,,,0,33.5,41.919,41.919,41.919,35.56,35.834,41.919,41.919,9,15,9,16,7,8,5,4,5,60,0,0,0,127,37,32,15,14,3,4,3,3,2,2,2,2,1,1,1,1,1,2,2,8,0,0,0,0,0,0,0,0,275,26,13,5,8,2,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,23,2026-01-31T15:05:00+08:00,S2_b90,,38,100,3797,335,1830000,90,0,,,,,,,0,33.5,40.679,40.679,40.472,35.524,35.823,40.472,40.472,9,12,10,11,3,6,6,7,4,63,0,0,0,120,43,25,22,17,8,6,8,5,6,3,5,5,5,3,3,1,4,2,1,19,0,0,0,0,0,0,0,0,215,25,11,9,6,4,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,24,2026-01-31T15:05:04+08:00,S2_b90,,38,100,3797,335,1830000,90,0,,,,,,,0,33.5,39.583,39.583,39.583,35.49,35.787,39.583,39.583,8,15,13,9,7,7,8,2,4,49,0,0,0,126,39,24,26,23,6,10,5,3,6,1,4,4,4,2,3,5,3,4,3,12,0,0,0,0,0,0,0,0,223,28,16,8,7,7,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,25,2026-01-31T15:05:07+08:00,S2_b90,,38,100,3797,335,1830000,90,0,,,,,,,0,33.5,41.084,41.084,41.084,35.45,35.77,41.084,41.084,10,14,15,11,6,4,4,2,4,58,0,0,0,120,42,31,26,17,6,5,5,4,4,7,4,2,4,3,3,5,2,1,4,22,0,0,0,0,0,0,0,0,224,25,13,7,8,2,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,26,2026-01-31T15:05:11+08:00,S2_b90,,38,100,3797,335,1830000,90,0,,,,,,,0,33.4,40.722,40.722,41.812,35.428,35.706,41.812,41.812,9,23,10,18,5,13,5,4,7,52,0,0,0,108,38,29,21,18,6,6,8,5,9,8,5,6,7,4,1,1,2,2,2,10,0,0,0,0,0,0,0,0,226,26,12,5,6,6,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,27,2026-01-31T15:05:15+08:00,S2_b90,,38,100,3797,335,1830000,90,0,,,,,,,0,33.4,40.588,40.588,40.588,35.405,35.681,40.588,40.588,9,17,13,16,5,7,5,4,6,52,0,0,0,110,37,33,25,24,7,3,4,2,6,5,4,3,1,2,1,3,1,2,2,8,0,0,0,0,0,0,0,0,252,29,10,8,5,5,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
