run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt,cpu_policy0_energy_mJ,cpu_policy0_energy_mJ_matched,cpu_policy0_energy_mJ_unmatched,cpu_policy0_avg_power_mW,cpu_policy0_unmatched_dt_ms,cpu_policy4_energy_mJ,cpu_policy4_energy_mJ_matched,cpu_policy4_energy_mJ_unmatched,cpu_policy4_avg_power_mW,cpu_policy4_unmatched_dt_ms,cpu_policy7_energy_mJ,cpu_policy7_energy_mJ_matched,cpu_policy7_energy_mJ_unmatched,cpu_policy7_avg_power_mW,cpu_policy7_unmatched_dt_ms,cpu_energy_mJ_total,battery_discharge_energy_mJ,dt_s
20260130_232950,10,2026-01-30T23:30:23+08:00,S1_wifi_screenoff_hotspot_on_smoke,,93,100,4313,308,4444000,47,0,,0,30.8,37.169,37.169,36.747,32.929,33.216,36.747,36.747,7,17,12,11,4,6,11,6,2,2,113,0,0,51,27,17,23,14,3,4,3,1,2,1,2,3,8,1,1,1,2,2,0,1,1,1,5,0,0,0,0,0,242,16,11,7,4,2,0,0,0,0,0,0,0,0,316,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,93.166,93.166,0.000,288.438,0,93.190,93.190,0.000,287.623,0,263.695,263.695,0.000,818.928,0,450.050,-0.000,3.000
20260130_232950,11,2026-01-30T23:30:27+08:00,S1_wifi_screenoff_hotspot_on_smoke,,93,100,4313,308,4444000,47,0,,0,30.8,40.264,40.264,40.264,32.918,33.239,40.264,40.264,7,11,13,24,7,13,6,5,8,2,80,0,0,60,27,24,16,21,6,3,4,2,4,3,2,5,4,3,4,4,1,2,2,3,1,3,16,0,0,0,0,0,198,15,16,9,8,2,0,0,0,0,0,0,0,0,323,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,87.599,87.599,0.000,270.368,0,119.789,119.789,0.000,374.342,0,268.413,268.413,0.000,815.846,0,475.802,-0.000,4.000
20260130_232950,12,2026-01-30T23:30:30+08:00,S1_wifi_screenoff_hotspot_on_smoke,,93,100,4313,308,4444000,47,0,,0,30.8,37.269,37.269,37.269,32.926,33.236,37.269,37.269,11,14,11,8,9,4,6,8,6,5,104,0,0,54,20,23,25,19,1,5,3,2,2,4,3,4,3,1,2,1,1,2,0,0,1,0,5,0,0,0,0,0,233,21,14,9,7,5,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.800,92.800,0.000,283.792,0,91.918,91.918,0.000,279.385,0,260.044,260.044,0.000,802.606,0,444.762,-0.000,3.000
20260130_232950,13,2026-01-30T23:30:33+08:00,S1_wifi_screenoff_hotspot_on_smoke,,93,100,4313,308,4444000,47,0,,0,30.8,37.313,37.313,37.313,32.969,33.213,37.313,37.313,8,19,17,11,2,13,5,6,8,6,91,0,0,54,23,26,17,21,4,2,3,2,2,2,2,2,3,0,2,2,1,1,2,1,0,0,2,0,0,0,0,0,238,19,15,7,8,5,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.954,90.954,0.000,278.147,0,85.976,85.976,0.000,264.543,0,260.044,260.044,0.000,802.606,0,436.975,-0.000,3.000
20260130_232950,14,2026-01-30T23:30:36+08:00,S1_wifi_screenoff_hotspot_on_smoke,,93,100,4313,308,4444000,47,0,,0,30.8,35.802,35.802,35.682,32.95,33.167,35.682,35.682,13,12,13,15,7,10,8,1,4,5,101,0,0,53,34,24,11,14,3,2,3,3,3,1,5,2,4,4,1,1,1,0,3,1,0,0,2,0,0,0,0,0,233,15,14,9,11,7,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.370,91.370,0.000,281.138,0,89.894,89.894,0.000,274.068,0,263.255,263.255,0.000,802.606,0,444.519,-0.000,3.000
20260130_232950,15,2026-01-30T23:30:40+08:00,S1_wifi_screenoff_hotspot_on_smoke,,93,100,4313,308,4444000,47,0,,0,30.8,37.971,37.971,37.971,32.939,33.184,37.971,37.971,13,11,10,9,9,10,2,1,6,2,101,0,0,63,33,24,18,14,2,2,3,5,3,4,2,3,2,1,0,3,2,3,1,1,1,1,2,0,0,0,0,0,229,23,12,10,9,6,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.765,89.765,0.000,275.353,0,92.722,92.722,0.000,280.975,0,261.650,261.650,0.000,802.606,0,444.136,-0.000,4.000
20260130_232950,16,2026-01-30T23:30:43+08:00,S1_wifi_screenoff_hotspot_on_smoke,,93,100,4313,308,4444000,47,0,,0,30.8,36.4,36.4,36.4,32.98,33.199,36.4,36.4,5,13,8,12,13,7,4,3,6,3,120,0,0,46,25,28,20,14,4,2,1,3,3,0,3,2,5,1,0,2,2,0,1,1,0,0,4,0,0,0,0,0,233,17,12,10,9,5,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.702,95.702,0.000,292.667,0,86.904,86.904,0.000,271.575,0,260.847,260.847,0.000,802.606,0,443.453,-0.000,3.000
20260130_232950,17,2026-01-30T23:30:46+08:00,S1_wifi_screenoff_hotspot_on_smoke,,93,100,4313,308,4444000,47,0,,0,30.8,36.903,36.903,36.903,32.95,33.161,36.903,36.903,7,9,8,9,6,4,6,6,8,0,109,0,0,71,24,27,13,18,5,4,2,2,3,2,2,2,3,2,1,1,2,1,1,0,0,1,2,0,0,0,0,0,242,19,15,9,7,3,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.402,91.402,0.000,281.238,0,87.338,87.338,0.000,263.860,0,261.650,261.650,0.000,802.606,0,440.390,-0.000,3.000
20260130_232950,18,2026-01-30T23:30:49+08:00,S1_wifi_screenoff_hotspot_on_smoke,,93,100,4313,308,4444000,47,0,,0,30.8,37.092,36.984,36.672,32.936,33.23,36.672,36.672,5,16,14,7,10,4,6,8,3,4,105,0,0,62,32,29,16,12,1,3,4,0,2,2,1,3,3,1,2,0,1,2,2,1,1,1,16,0,0,0,0,0,222,18,12,10,11,6,0,0,0,0,0,0,0,0,313,1,2,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,93.068,93.068,0.000,279.483,0,107.429,107.429,0.000,330.552,0,282.687,282.687,0.000,854.040,0,483.185,-0.000,3.000
20260130_232950,19,2026-01-30T23:30:53+08:00,S1_wifi_screenoff_hotspot_on_smoke,,93,100,4313,308,4444000,47,0,,0,30.8,36.517,36.517,36.517,32.956,33.207,36.517,36.517,5,8,12,15,4,8,4,6,4,6,107,0,0,60,33,24,17,12,2,1,2,1,2,1,2,3,1,2,2,3,1,0,1,2,1,1,6,0,0,0,0,0,247,18,13,8,6,3,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.150,92.150,0.000,283.539,0,93.503,93.503,0.000,284.204,0,260.044,260.044,0.000,802.606,0,445.698,-0.000,4.000
