run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt
20260130_232651,0,2026-01-30T23:26:52+08:00,S1_wifi_screenoff_hotspot_on,,93,100,4320,308,4467000,47,0,,0,30.8,38.233,38.233,38.233,32.852,32.942,38.233,38.233,1,7,8,3,3,3,3,4,4,1,31,0,0,22,10,6,8,6,3,1,0,0,2,1,0,2,2,1,0,1,1,0,1,0,0,0,2,0,0,0,0,0,83,6,5,1,3,0,0,0,0,0,0,0,0,0,116,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20260130_232651,1,2026-01-30T23:26:55+08:00,S1_wifi_screenoff_hotspot_on,,93,100,4320,308,4467000,47,0,,0,30.8,36.74,36.74,36.74,32.83,32.95,36.74,36.74,8,11,15,12,12,5,7,9,5,2,97,0,0,47,30,27,15,19,1,2,2,3,2,2,2,1,1,1,1,2,2,1,2,1,0,0,5,0,0,0,0,0,254,20,7,5,5,4,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_232651,2,2026-01-30T23:26:58+08:00,S1_wifi_screenoff_hotspot_on,,93,100,4320,308,4467000,47,0,,0,30.9,36.241,36.241,36.241,32.85,32.969,36.241,36.241,11,10,13,17,4,3,4,4,3,6,103,0,0,53,30,23,20,19,6,5,3,4,2,2,0,5,3,1,0,2,0,0,0,1,1,0,2,0,0,0,0,0,241,18,18,6,4,2,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_232651,3,2026-01-30T23:27:02+08:00,S1_wifi_screenoff_hotspot_on,,93,100,4320,308,4467000,47,0,,0,30.9,36.538,36.538,36.538,32.838,32.956,36.538,36.538,12,10,12,17,7,6,5,1,9,5,111,0,0,49,35,24,12,10,5,3,4,1,2,1,1,1,3,0,1,2,1,0,1,0,0,1,1,0,0,0,0,0,251,20,9,5,4,2,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_232651,4,2026-01-30T23:27:05+08:00,S1_wifi_screenoff_hotspot_on,,93,100,4320,308,4467000,47,0,,0,30.9,35.84,35.84,35.84,32.828,32.948,35.84,35.84,13,20,7,9,3,6,8,4,10,6,107,0,0,38,25,24,24,14,2,4,4,1,1,3,2,1,1,1,1,1,0,1,2,1,1,0,1,0,0,0,0,0,253,17,9,6,7,2,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_232651,5,2026-01-30T23:27:08+08:00,S1_wifi_screenoff_hotspot_on,,93,100,4320,308,4467000,47,0,,0,30.9,37.148,37.148,37.148,32.847,32.977,36.831,36.831,10,14,13,12,9,4,4,4,10,3,113,0,0,34,32,21,22,14,2,1,5,1,2,3,0,2,2,1,0,3,0,0,1,1,0,0,3,0,0,0,0,0,245,14,15,9,3,4,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_232651,6,2026-01-30T23:27:11+08:00,S1_wifi_screenoff_hotspot_on,,93,100,4320,308,4467000,47,0,,0,30.9,36.522,36.522,36.522,32.847,32.996,36.522,36.522,8,10,16,11,3,3,4,5,6,1,119,0,0,47,26,28,17,15,2,4,7,3,1,1,3,2,0,2,0,1,1,1,0,0,1,0,6,0,0,0,0,0,228,19,16,7,5,3,0,0,0,0,0,0,0,0,312,1,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
20260130_232651,7,2026-01-30T23:27:14+08:00,S1_wifi_screenoff_hotspot_on,,93,100,4320,308,4467000,47,0,,0,30.9,36.341,36.341,36.341,32.833,32.967,36.342,36.342,9,16,16,13,7,7,4,3,7,1,105,0,0,52,30,25,15,15,4,4,2,4,2,3,1,2,3,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,248,21,14,6,7,6,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_232651,8,2026-01-30T23:27:18+08:00,S1_wifi_screenoff_hotspot_on,,93,100,4320,308,4467000,47,0,,0,30.9,36.681,36.681,36.681,32.847,33.019,36.681,36.681,8,11,9,13,7,9,9,4,8,5,115,0,0,44,24,19,14,21,1,4,3,0,5,1,1,1,3,1,2,0,1,1,2,1,1,0,9,0,0,0,0,0,243,17,10,5,5,4,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
20260130_232651,9,2026-01-30T23:27:21+08:00,S1_wifi_screenoff_hotspot_on,,93,100,4320,308,4467000,47,0,,0,30.9,37.26,36.66,36.423,32.85,32.996,36.423,36.423,5,21,9,16,6,7,6,3,5,4,100,0,0,51,29,23,12,25,4,1,2,1,1,5,1,1,4,1,0,1,0,1,1,0,0,0,2,0,0,0,0,0,250,20,14,6,2,3,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
