run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt
20260130_232755,0,2026-01-30T23:27:55+08:00,S1_wifi_screenoff_hotspot_on,,93,100,4320,308,4467000,47,0,,0,30.9,36.757,36.757,36.757,32.83,32.956,36.757,36.757,4,3,8,6,2,2,3,2,1,1,31,0,0,25,14,8,4,5,4,2,1,3,4,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,70,10,5,3,4,2,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_232755,1,2026-01-30T23:27:59+08:00,S1_wifi_screenoff_hotspot_on,,93,100,4320,308,4467000,47,0,,0,30.9,41.978,41.978,41.978,32.85,32.964,41.978,41.978,10,21,14,11,1,9,9,3,2,2,107,0,0,52,25,24,15,12,1,1,7,3,0,2,3,1,2,2,0,1,1,1,1,1,0,2,2,0,0,0,0,0,246,18,15,7,3,1,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_232755,2,2026-01-30T23:28:02+08:00,S1_wifi_screenoff_hotspot_on,,93,100,4320,308,4467000,47,0,,0,30.8,36.898,36.898,36.744,32.83,32.953,36.313,36.744,4,8,9,10,1,3,12,3,4,6,114,0,0,63,35,22,13,17,4,1,2,2,3,2,0,1,5,3,1,1,1,0,2,0,1,0,4,0,0,0,0,0,245,23,9,4,6,4,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_232755,3,2026-01-30T23:28:05+08:00,S1_wifi_screenoff_hotspot_on,,93,100,4320,308,4467000,47,0,,0,30.8,37.437,37.437,37.121,32.817,32.942,37.121,37.121,9,11,11,19,4,4,6,4,8,1,112,0,0,46,31,21,14,17,0,2,1,0,1,1,1,1,2,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,253,21,14,11,3,2,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_232755,4,2026-01-30T23:28:08+08:00,S1_wifi_screenoff_hotspot_on,,93,100,4320,308,4467000,47,0,,0,30.8,36.328,36.328,35.956,32.814,32.98,35.956,35.956,9,11,11,9,3,5,6,6,7,2,106,0,0,57,28,29,21,14,1,2,4,0,2,1,1,3,3,0,0,2,0,2,1,0,0,0,7,0,0,0,0,0,236,19,16,8,7,3,0,0,0,0,0,0,0,0,319,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20260130_232755,5,2026-01-30T23:28:11+08:00,S1_wifi_screenoff_hotspot_on,,93,100,4320,308,4467000,47,0,,0,30.8,36.17,36.17,35.913,32.825,32.98,35.913,35.913,6,10,14,12,3,9,3,2,7,1,130,0,0,45,31,20,14,13,1,4,2,1,1,2,0,3,3,1,1,0,1,0,0,0,1,0,4,0,0,0,0,0,241,20,13,5,12,6,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_232755,6,2026-01-30T23:28:15+08:00,S1_wifi_screenoff_hotspot_on,,93,100,4320,308,4467000,47,0,,0,30.8,36.894,36.894,36.894,32.814,32.945,36.894,36.894,9,8,10,13,4,7,5,5,5,7,100,0,0,62,27,31,15,12,2,1,6,3,0,1,3,3,3,0,2,1,1,0,1,1,0,0,4,0,0,0,0,0,249,15,10,7,6,3,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_232755,7,2026-01-30T23:28:18+08:00,S1_wifi_screenoff_hotspot_on,,93,100,4320,308,4467000,47,0,,0,30.8,35.661,35.661,35.661,32.8,32.95,35.59,35.661,8,11,11,6,10,11,4,8,5,2,106,0,0,57,27,20,19,18,3,2,3,2,1,2,2,2,2,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,257,17,13,7,8,3,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_232755,8,2026-01-30T23:28:21+08:00,S1_wifi_screenoff_hotspot_on,,93,100,4320,308,4467000,47,0,,0,30.8,35.964,35.964,35.964,32.822,32.961,35.964,35.964,9,19,13,8,5,9,12,3,10,1,112,0,0,46,27,21,19,10,3,2,3,2,3,0,2,1,2,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,249,17,5,3,9,6,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_232755,9,2026-01-30T23:28:24+08:00,S1_wifi_screenoff_hotspot_on,,93,100,4320,308,4467000,47,0,,0,30.8,37.083,37.083,37.083,32.806,32.921,37.083,37.083,7,9,14,12,6,5,7,5,7,3,102,0,0,54,32,23,17,14,1,2,3,2,2,2,1,2,3,1,2,2,1,1,1,1,0,0,6,0,0,0,0,0,253,11,9,3,4,5,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
