run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,display_state,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt
20260131_173710,0,2026-01-31T17:37:11+08:00,S2_b90,,31,100,3908,354,1507000,90,0,,ON,0,35.3,44.409,44.086,44.086,37.137,38.388,44.086,44.086,6,7,4,6,4,6,5,1,1,2,16,0,0,19,10,43,10,7,4,6,3,2,1,1,1,2,2,1,0,1,0,0,1,1,1,2,0,0,0,0,0,0,86,13,5,7,2,4,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20260131_173710,1,2026-01-31T17:37:14+08:00,S2_b90,,31,100,3908,354,1507000,90,0,,ON,0,35.3,42.225,42.225,42.225,37.333,38.023,42.225,42.225,10,14,12,15,86,0,0,0,0,0,5,0,0,101,39,25,19,19,6,6,9,5,6,6,6,6,6,2,3,4,3,2,19,0,0,0,0,0,0,0,0,0,200,29,12,9,6,4,0,0,0,0,0,0,0,0,344,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_173710,2,2026-01-31T17:37:18+08:00,S2_b90,,31,100,3908,354,1507000,90,0,,ON,0,35.4,42.428,42.428,42.129,37.347,37.837,42.129,42.129,7,14,11,12,91,0,0,0,0,0,0,0,0,115,33,26,16,20,6,6,8,2,4,5,2,3,4,4,4,3,5,3,13,0,0,0,0,0,0,0,0,0,212,26,18,7,9,6,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_173710,3,2026-01-31T17:37:21+08:00,S2_b90,,31,100,3908,354,1507000,90,0,,ON,0,35.4,42.886,42.406,42.406,37.327,37.744,42.068,42.068,7,12,13,10,72,0,0,0,0,0,0,0,0,125,40,30,20,21,2,8,4,4,3,2,3,1,1,2,0,0,2,1,7,0,0,0,0,0,0,0,0,0,241,23,20,5,5,7,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_173710,4,2026-01-31T17:37:25+08:00,S2_b90,,31,100,3908,354,1507000,90,0,,ON,0,35.4,41.786,41.786,41.769,37.307,37.724,41.769,41.769,6,13,10,10,77,0,0,0,0,0,0,0,0,114,44,29,24,18,4,7,5,5,9,6,6,5,6,3,4,3,4,3,15,0,0,0,0,0,0,0,0,0,209,25,14,7,7,5,0,0,0,0,0,0,0,0,345,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_173710,5,2026-01-31T17:37:28+08:00,S2_b90,,31,100,3908,354,1507000,90,0,,ON,0,35.4,41.722,41.722,41.722,37.292,37.696,41.722,41.722,7,12,10,12,76,0,0,0,0,0,0,0,0,134,38,27,19,16,6,7,6,7,6,5,2,4,4,4,4,4,4,4,9,0,0,0,0,0,0,0,0,0,211,26,16,7,8,7,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_173710,6,2026-01-31T17:37:32+08:00,S2_b90,,31,100,3908,354,1507000,90,0,,ON,0,35.4,41.337,41.337,41.337,37.284,37.679,41.337,41.337,12,12,16,10,73,0,0,0,0,0,0,0,0,127,41,32,18,13,4,6,7,5,6,6,7,3,4,4,2,3,3,1,10,0,0,0,0,0,0,0,0,0,222,22,16,7,7,5,0,0,0,0,0,0,0,0,349,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_173710,7,2026-01-31T17:37:35+08:00,S2_b90,,31,100,3908,354,1507000,90,0,,ON,0,35.4,50.481,50.481,50.481,37.278,37.682,50.481,50.481,3,5,5,12,221,0,0,0,0,0,0,0,0,57,18,9,10,8,8,5,3,4,4,6,5,4,2,5,1,3,2,2,14,0,0,0,0,0,0,0,0,0,229,18,17,5,6,5,0,0,0,0,0,0,0,0,332,1,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_173710,8,2026-01-31T17:37:39+08:00,S2_b90,,32,100,3909,354,1523000,90,0,,ON,0,35.4,45.894,45.894,46.578,37.298,37.735,46.578,46.578,8,11,10,11,122,0,0,0,0,0,0,0,0,98,28,23,20,15,4,4,5,1,2,2,2,1,1,1,3,4,1,0,3,0,0,0,0,0,0,0,0,0,246,28,19,5,8,4,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
