run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt
20260130_233557,0,2026-01-30T23:35:58+08:00,S1_wifi_screenoff_hotspot_on,,92,100,4309,308,4417000,47,0,,0,30.9,36.46,36.46,36.371,33.034,33.294,36.371,36.371,4,4,4,5,2,1,4,1,1,1,41,0,0,31,6,10,10,4,1,1,2,2,1,2,1,3,3,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,79,5,6,2,5,7,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_233557,1,2026-01-30T23:36:01+08:00,S1_wifi_screenoff_hotspot_on,,92,100,4309,308,4417000,47,0,,0,30.9,36.954,36.954,36.356,33.019,33.256,36.356,36.356,4,9,11,12,6,7,5,3,3,4,83,0,0,106,34,20,12,13,4,3,4,1,1,3,1,2,2,3,0,1,2,2,1,0,0,1,3,0,0,0,0,0,226,28,17,12,8,5,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_233557,2,2026-01-30T23:36:05+08:00,S1_wifi_screenoff_hotspot_on,,92,100,4309,308,4417000,47,0,,0,30.9,37.336,37.106,36.845,33.022,33.265,36.845,36.845,7,9,11,12,6,9,6,2,7,3,102,0,0,81,27,20,13,10,5,2,3,2,2,0,3,6,3,2,4,3,2,1,2,0,1,0,3,0,0,0,0,0,224,20,15,8,8,8,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_233557,3,2026-01-30T23:36:08+08:00,S1_wifi_screenoff_hotspot_on,,92,100,4309,308,4417000,47,0,,0,30.9,38.197,38.197,38.488,33.057,33.277,38.488,38.488,6,10,6,6,2,13,4,3,5,6,89,0,0,78,32,30,22,21,3,5,4,1,3,4,6,3,3,1,0,3,2,1,0,1,2,1,11,0,0,0,0,0,222,23,15,6,7,5,0,0,0,0,0,0,0,0,323,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20260130_233557,4,2026-01-30T23:36:11+08:00,S1_wifi_screenoff_hotspot_on,,92,100,4309,308,4417000,47,0,,0,30.8,37.022,37.022,37.022,33.037,33.256,37.022,37.022,5,9,9,11,4,7,6,1,4,1,88,0,0,87,27,24,19,13,3,1,3,1,1,3,1,3,4,2,1,1,2,2,1,0,0,1,9,0,0,0,0,0,230,21,11,5,7,3,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20260130_233557,5,2026-01-30T23:36:14+08:00,S1_wifi_screenoff_hotspot_on,,92,100,4309,308,4417000,47,0,,0,30.8,36.185,36.185,36.185,33.025,33.265,36.185,36.185,7,11,11,13,4,6,8,2,4,3,93,0,0,84,31,18,18,18,5,6,2,5,3,2,4,5,7,1,1,1,1,0,2,2,0,1,5,0,0,0,0,0,227,14,9,8,14,7,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_233557,6,2026-01-30T23:36:18+08:00,S1_wifi_screenoff_hotspot_on,,92,100,4309,308,4417000,47,0,,0,30.8,37.593,37.593,37.593,33.045,33.251,37.593,37.593,7,12,6,10,10,9,4,4,7,3,122,0,0,71,20,16,13,11,5,2,1,3,2,5,2,3,3,3,1,2,1,1,1,1,1,0,4,0,0,0,0,0,238,22,11,5,6,1,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_233557,7,2026-01-30T23:36:21+08:00,S1_wifi_screenoff_hotspot_on,,92,100,4309,308,4417000,47,0,,0,30.8,36.754,36.754,36.754,33.025,33.204,37.161,36.754,7,13,15,11,6,6,4,4,4,6,117,0,0,72,21,14,14,13,5,2,5,3,1,2,1,2,1,2,1,2,0,1,1,1,0,3,3,0,0,0,0,0,243,17,12,7,7,4,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_233557,8,2026-01-30T23:36:24+08:00,S1_wifi_screenoff_hotspot_on,,92,100,4309,308,4417000,47,0,,0,30.8,36.442,36.442,36.442,33.022,33.19,36.442,36.442,9,11,9,14,5,6,6,4,8,2,83,0,0,85,35,26,13,15,4,3,4,3,4,4,1,3,3,3,3,1,2,1,1,1,0,0,6,0,0,0,0,0,240,12,9,7,6,9,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260130_233557,9,2026-01-30T23:36:27+08:00,S1_wifi_screenoff_hotspot_on,,92,100,4309,308,4417000,47,0,,0,30.8,36.442,36.442,36.284,33.016,33.19,36.284,36.284,4,9,8,10,10,3,9,3,5,3,101,0,0,86,23,21,13,12,5,3,2,3,2,1,2,3,2,2,2,2,1,1,1,1,0,1,3,0,0,0,0,0,240,18,11,5,7,3,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
