run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,display_state,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt,cpu_policy0_energy_mJ,cpu_policy0_energy_mJ_matched,cpu_policy0_energy_mJ_unmatched,cpu_policy0_avg_power_mW,cpu_policy0_unmatched_dt_ms,cpu_policy4_energy_mJ,cpu_policy4_energy_mJ_matched,cpu_policy4_energy_mJ_unmatched,cpu_policy4_avg_power_mW,cpu_policy4_unmatched_dt_ms,cpu_policy7_energy_mJ,cpu_policy7_energy_mJ_matched,cpu_policy7_energy_mJ_unmatched,cpu_policy7_avg_power_mW,cpu_policy7_unmatched_dt_ms,cpu_energy_mJ_total,battery_discharge_energy_mJ,dt_s
20260131_174046,10,2026-01-31T17:41:22+08:00,S2_b90,,34,100,3924,358,1635000,90,0,,ON,0,35.8,46.484,46.484,46.484,37.784,38.177,47.941,46.484,12,15,9,14,67,0,0,0,0,0,0,0,0,111,54,31,25,15,5,5,4,2,4,7,5,4,5,4,1,4,4,0,22,0,0,0,0,0,0,0,0,0,228,22,11,5,5,4,0,0,0,0,0,0,0,0,350,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.901,65.901,0.000,186.687,0,107.502,107.502,0.000,306.273,0,260.341,260.341,0.000,735.427,0,433.744,-0.000,4.000
20260131_174046,11,2026-01-31T17:41:25+08:00,S2_b90,,34,100,3924,358,1635000,90,0,,ON,0,35.8,45.24,45.24,44.561,37.778,38.171,42.989,42.989,10,12,10,12,67,0,0,0,0,0,0,0,0,124,51,28,23,18,5,3,5,2,5,4,1,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,244,33,21,8,7,6,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.800,65.800,0.000,185.352,0,81.860,81.860,0.000,230.591,0,257.767,257.767,0.000,730.217,0,405.427,-0.000,3.000
20260131_174046,12,2026-01-31T17:41:29+08:00,S2_b90,,34,100,3924,358,1635000,90,0,,ON,0,35.8,42.946,42.946,42.946,37.767,38.146,42.946,42.946,12,19,10,14,85,0,0,0,0,0,0,0,0,103,40,26,26,18,7,7,5,3,6,4,5,5,2,6,2,3,2,1,16,0,0,0,0,0,0,0,0,0,219,19,19,9,7,6,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.965,67.965,0.000,192.535,0,102.908,102.908,0.000,291.524,0,259.227,259.227,0.000,730.217,0,430.100,-0.000,4.000
20260131_174046,13,2026-01-31T17:41:32+08:00,S2_b90,,34,100,3924,358,1635000,90,0,,ON,0,35.9,42.219,42.219,42.219,37.756,38.158,42.219,42.219,7,13,12,9,41,0,0,0,0,0,0,0,0,152,52,26,18,21,4,6,7,4,7,6,4,5,3,5,3,3,3,1,17,0,0,0,0,0,0,0,0,0,225,23,11,4,3,6,0,0,0,0,0,0,0,0,343,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.280,62.280,0.000,177.436,0,104.515,104.515,0.000,298.614,0,255.230,255.230,0.000,735.533,0,422.025,-0.000,3.000
20260131_174046,14,2026-01-31T17:41:36+08:00,S2_b90,,34,100,3924,358,1635000,90,0,,ON,0,35.9,44.394,44.394,44.394,37.756,38.125,44.394,44.394,6,11,14,10,63,0,0,0,0,0,0,0,0,130,54,27,21,12,6,9,4,5,3,4,5,5,4,4,3,3,2,3,8,0,0,0,0,0,0,0,0,0,224,23,13,8,7,5,0,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.988,63.988,0.000,183.874,0,96.202,96.202,0.000,276.442,0,254.846,254.846,0.000,730.217,0,415.036,-0.000,4.000
20260131_174046,15,2026-01-31T17:41:39+08:00,S2_b90,,34,100,3924,358,1635000,90,0,,ON,0,35.9,46.5,46.5,46.5,37.741,38.078,46.5,46.5,12,12,11,16,106,0,0,0,0,0,0,0,0,94,37,23,23,16,6,4,4,3,4,4,3,4,3,3,2,2,3,2,19,0,0,0,0,0,0,0,0,0,222,31,13,7,7,4,0,0,0,0,0,0,0,0,337,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.303,69.303,0.000,198.010,0,102.128,102.128,0.000,291.793,0,261.570,261.570,0.000,747.344,0,433.002,-0.000,3.000
20260131_174046,16,2026-01-31T17:41:43+08:00,S2_b90,,34,100,3924,358,1635000,90,0,,ON,0,35.8,42.731,42.731,42.731,37.747,38.165,42.731,42.731,11,10,11,14,171,0,0,0,0,0,0,0,0,67,24,15,21,13,4,4,3,3,3,2,6,2,1,4,1,2,1,1,3,0,0,0,0,0,0,0,0,0,263,27,12,5,7,4,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.307,76.307,0.000,213.744,0,84.476,84.476,0.000,235.967,0,259.957,259.957,0.000,730.217,0,420.740,-0.000,4.000
20260131_174046,17,2026-01-31T17:41:46+08:00,S2_b90,,34,100,3924,358,1635000,90,0,,ON,0,35.8,41.513,41.513,41.453,37.756,38.152,41.453,41.453,7,10,14,8,104,0,0,0,0,0,0,0,0,112,44,21,16,18,6,9,7,5,6,8,6,5,5,6,2,3,2,1,4,0,0,0,0,0,0,0,0,0,214,23,18,10,10,7,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.811,68.811,0.000,194.380,0,97.244,97.244,0.000,272.392,0,259.957,259.957,0.000,730.217,0,426.012,-0.000,3.000
20260131_174046,18,2026-01-31T17:41:50+08:00,S2_b90,,34,100,3924,358,1635000,90,0,,ON,0,35.9,43.234,43.234,42.943,37.747,38.14,42.009,42.009,10,13,9,15,84,0,0,0,0,0,0,0,0,113,46,30,22,17,6,4,4,2,5,5,2,2,3,7,1,3,3,3,17,0,0,0,0,0,0,0,0,0,236,25,13,6,7,3,0,0,0,0,0,0,0,0,354,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.341,68.341,0.000,190.364,0,103.480,103.480,0.000,289.859,0,265.645,265.645,0.000,737.902,0,437.465,-0.000,4.000
20260131_174046,19,2026-01-31T17:41:54+08:00,S2_b90,,34,100,3924,358,1635000,90,0,,ON,0,35.9,42.659,42.659,42.659,37.744,38.134,42.659,42.659,8,16,12,13,87,0,0,0,0,0,0,0,0,109,36,30,24,21,8,10,9,5,4,10,6,4,4,3,3,5,2,2,11,0,0,0,0,0,0,0,0,0,207,27,16,8,5,6,0,0,0,0,0,0,0,0,343,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.410,68.410,0.000,192.164,0,103.849,103.849,0.000,292.532,0,264.760,264.760,0.000,745.804,0,437.019,-0.000,4.000
