run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt
20260131_022902,0,2026-01-31T02:29:03+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.8,41.348,41.348,41.348,34.688,35.736,41.348,41.348,5,5,4,5,0,2,0,1,1,2,22,0,0,30,26,8,6,5,3,2,3,1,3,2,4,3,0,2,1,2,0,2,3,2,1,1,7,0,0,0,0,0,24,10,19,15,11,3,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,1,2026-01-31T02:29:06+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.8,40.995,40.995,40.995,34.817,35.552,40.995,40.995,7,6,4,6,3,3,3,2,1,1,39,0,0,155,46,17,17,11,5,6,3,4,4,7,6,2,8,4,2,1,3,4,1,2,0,1,12,0,0,0,0,0,131,42,43,16,8,6,0,0,0,0,0,0,0,0,316,0,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,2,2026-01-31T02:29:09+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.8,45.596,45.596,47.674,34.817,35.28,50.609,47.674,0,1,2,4,1,0,1,1,1,1,30,0,0,252,8,7,6,1,1,1,0,2,2,1,3,1,7,4,3,5,2,1,3,3,2,2,22,0,0,0,0,0,235,2,3,4,3,1,0,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,3,2026-01-31T02:29:12+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.8,38.811,38.747,38.527,34.77,35.178,38.527,38.527,4,1,1,3,1,2,0,0,0,0,18,0,0,259,6,12,8,2,3,2,2,2,3,1,4,9,7,3,5,2,7,2,5,5,3,1,16,0,0,0,0,0,212,8,5,1,13,2,0,0,0,0,0,0,0,0,315,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,4,2026-01-31T02:29:16+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.8,38.595,38.595,38.595,34.732,35.066,38.595,38.595,2,5,1,1,0,0,1,0,3,1,30,0,0,255,7,9,4,2,5,1,3,4,3,3,3,4,2,3,1,4,3,4,3,5,2,4,18,0,0,0,0,0,222,5,5,1,1,6,0,0,0,0,0,0,0,0,315,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,5,2026-01-31T02:29:19+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.9,39.313,39.313,38.54,34.699,35.003,38.54,38.54,1,4,1,3,1,2,1,1,0,3,17,0,0,254,12,7,5,3,3,2,2,2,2,5,0,1,5,2,1,2,2,2,0,6,0,1,17,0,0,0,0,0,241,9,0,4,1,7,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,6,2026-01-31T02:29:22+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.9,39.809,39.809,39.809,34.67,34.986,41.453,39.809,2,2,1,3,1,3,1,1,1,0,26,0,0,250,12,7,6,1,5,4,3,2,4,4,7,5,9,6,2,3,5,1,2,2,3,2,16,0,0,0,0,0,205,3,4,2,11,5,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,7,2026-01-31T02:29:25+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.9,44.876,44.876,44.876,34.649,34.966,42.458,44.876,1,2,2,0,1,1,1,0,0,1,24,0,0,262,7,7,9,1,1,1,3,3,3,5,3,4,6,4,4,4,4,9,3,6,1,1,29,0,0,0,0,0,211,4,3,1,3,2,0,0,0,0,0,0,0,0,308,1,0,0,0,2,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,8,2026-01-31T02:29:28+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.9,39.824,39.559,39.559,34.649,35.003,39.559,39.559,2,1,1,1,1,0,0,0,0,1,35,0,0,258,7,6,7,3,2,3,2,1,3,3,8,5,5,7,3,8,2,2,11,3,3,2,15,0,0,0,0,0,220,7,4,2,2,6,0,0,0,0,0,0,0,0,321,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,9,2026-01-31T02:29:32+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.9,38.291,38.291,38.291,34.646,34.971,38.291,38.291,0,3,1,2,1,0,1,1,0,2,21,0,0,263,10,6,5,8,3,2,6,1,2,2,2,4,4,2,1,2,2,4,1,3,0,1,15,0,0,0,0,0,241,1,4,11,2,4,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,10,2026-01-31T02:29:35+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.9,38.407,38.407,38.407,34.628,34.922,38.407,38.407,1,2,1,10,1,1,1,0,1,0,22,0,0,261,7,5,5,2,2,2,2,3,6,5,2,7,4,2,2,5,3,4,2,3,3,9,21,0,0,0,0,0,215,2,5,6,3,2,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,11,2026-01-31T02:29:38+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.9,47.5,47.5,47.5,34.617,34.936,47.5,47.5,1,6,3,1,1,0,2,0,1,0,28,0,0,256,10,5,5,3,2,2,2,4,2,0,3,6,8,3,3,4,3,7,3,7,1,1,23,0,0,0,0,0,220,3,1,4,3,5,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,12,2026-01-31T02:29:41+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.9,40.385,40.385,40.298,34.611,34.893,40.237,40.237,3,4,1,1,1,1,0,1,0,1,24,0,0,252,13,6,9,3,3,4,2,10,5,7,4,6,5,3,2,4,3,4,2,8,1,2,12,0,0,0,0,0,223,8,3,1,2,4,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,13,2026-01-31T02:29:44+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.9,39.425,39.425,39.425,34.605,34.89,39.425,39.425,0,2,5,1,1,0,2,0,1,1,16,0,0,275,7,13,3,2,2,1,3,1,0,3,2,3,5,1,2,0,2,1,3,1,1,1,14,0,0,0,0,0,262,4,2,1,6,3,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,14,2026-01-31T02:29:48+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.9,38.19,38.19,38.802,34.596,34.869,37.729,38.802,1,1,1,2,0,2,0,0,1,0,26,0,0,261,11,3,8,3,4,3,6,1,5,4,4,2,5,9,2,2,6,2,3,5,1,1,18,0,0,0,0,0,223,5,2,2,2,2,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,15,2026-01-31T02:29:51+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.8,39.93,38.813,38.813,34.581,34.875,38.813,38.813,0,0,1,1,0,0,1,1,3,0,26,0,0,262,8,5,7,3,2,1,2,4,3,3,3,4,2,2,2,3,3,2,0,5,2,4,20,0,0,0,0,0,234,5,7,1,3,2,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,16,2026-01-31T02:29:54+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.8,44.968,44.968,44.968,34.581,34.939,44.968,44.968,2,3,2,3,1,1,1,0,1,1,24,0,0,264,12,7,6,2,1,2,3,6,3,4,3,5,4,9,2,5,4,3,2,4,5,2,29,0,0,0,0,0,211,6,4,1,6,4,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,17,2026-01-31T02:29:57+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.8,38.465,38.465,38.465,34.593,34.893,38.254,38.254,0,1,3,1,1,1,1,0,1,0,35,0,0,249,16,7,4,2,6,1,2,2,3,2,2,3,3,4,2,1,1,2,2,3,2,1,19,0,0,0,0,0,238,4,10,2,3,8,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,18,2026-01-31T02:30:01+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.8,37.778,37.778,37.654,34.587,34.916,37.654,37.654,2,3,1,3,0,9,0,0,2,1,42,0,0,232,7,9,5,6,2,2,6,2,8,5,6,3,5,5,3,3,5,5,2,1,1,0,24,0,0,0,0,0,210,4,3,4,3,7,0,0,0,0,0,0,0,0,315,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,19,2026-01-31T02:30:04+08:00,S2_b90,,73,100,4100,328,3476000,90,0,,0,32.8,37.443,37.443,37.452,34.599,34.919,37.467,37.452,1,3,2,1,1,2,1,1,0,1,31,0,0,248,12,10,7,4,3,2,2,1,2,1,3,5,3,2,0,3,5,4,2,2,2,3,26,0,0,0,0,0,233,3,8,4,5,2,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,20,2026-01-31T02:30:07+08:00,S2_b90,,73,100,4100,328,3476000,90,0,,0,32.8,46.904,46.03,46.03,34.593,34.863,46.03,46.03,2,1,0,2,0,5,1,1,1,0,22,0,0,256,8,6,9,3,2,2,4,8,8,4,3,9,4,5,2,4,4,3,1,2,2,2,22,0,0,0,0,0,215,4,2,3,4,2,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_022902,21,2026-01-31T02:30:10+08:00,S2_b90,,73,100,4100,328,3476000,90,0,,0,32.8,38.409,38.409,38.409,34.587,34.855,38.409,38.409,1,1,2,2,1,0,0,1,0,1,30,0,0,260,7,5,5,1,2,1,0,3,2,1,0,0,5,2,1,1,3,12,2,1,1,1,25,0,0,0,0,0,243,2,1,2,1,3,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
