run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,display_state,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt
20260131_170612,10,2026-01-31T17:06:48+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.4,39.045,39.045,39.045,34.425,34.761,39.045,39.045,11,17,12,13,3,11,6,3,3,1,44,0,0,118,39,31,17,22,7,4,2,2,2,3,4,4,3,3,2,3,3,2,3,1,1,1,6,0,0,0,0,0,245,19,9,7,10,2,0,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_170612,11,2026-01-31T17:06:51+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.4,38.857,38.857,38.857,34.43,34.805,38.857,38.857,9,12,10,12,5,6,8,1,2,13,77,0,0,91,34,27,20,18,4,6,4,2,4,2,3,1,1,1,2,0,0,1,2,1,2,1,16,0,0,0,0,0,238,22,12,9,5,9,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
20260131_170612,12,2026-01-31T17:06:55+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.4,38.493,38.493,38.493,34.442,34.808,38.493,38.493,8,12,7,10,3,9,4,3,3,3,54,0,0,123,41,32,20,15,6,5,8,5,5,3,5,3,2,2,4,5,2,2,2,1,1,2,10,0,0,0,0,0,228,18,15,4,5,3,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_170612,13,2026-01-31T17:06:58+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.4,39.671,39.671,39.671,34.448,34.813,39.671,39.671,9,15,12,15,11,12,5,6,3,3,63,0,0,108,37,22,19,16,6,3,6,3,3,4,4,5,2,4,2,1,2,3,1,1,1,2,10,0,0,0,0,0,236,21,14,10,8,5,0,0,0,0,0,0,0,0,355,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_170612,14,2026-01-31T17:07:02+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.4,39.479,39.479,39.479,34.451,34.822,39.479,39.479,6,15,11,10,3,11,5,7,5,1,53,0,0,105,50,25,25,18,6,5,7,6,6,2,4,5,2,2,1,4,2,2,2,2,1,0,14,0,0,0,0,0,212,20,15,10,9,8,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_170612,15,2026-01-31T17:07:05+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.5,39.776,39.776,39.776,34.454,34.79,39.776,39.776,11,12,18,14,7,5,4,3,2,2,54,0,0,120,40,24,17,14,4,5,5,2,6,6,3,2,2,3,3,2,5,4,3,2,1,2,12,0,0,0,0,0,236,20,10,3,3,5,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_170612,16,2026-01-31T17:07:09+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.5,39.323,39.323,39.323,34.478,34.813,39.323,39.323,5,15,10,17,3,7,4,1,3,6,67,0,0,120,29,24,19,21,3,5,5,1,2,2,2,1,2,1,1,3,2,2,2,1,1,1,4,0,0,0,0,0,255,27,14,6,3,2,0,0,0,0,0,0,0,0,345,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_170612,17,2026-01-31T17:07:12+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.5,40.445,40.445,40.445,34.483,34.855,40.445,40.445,10,18,13,11,5,9,3,5,6,2,30,0,0,132,41,24,19,16,5,3,3,1,2,4,2,3,4,3,2,2,3,3,1,1,1,1,12,0,0,0,0,0,234,23,10,8,9,4,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
20260131_170612,18,2026-01-31T17:07:15+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.5,39.739,39.739,39.739,34.493,34.861,39.739,39.739,12,12,11,16,4,11,6,2,5,4,33,0,0,132,36,27,19,19,5,6,3,5,6,7,5,6,4,3,1,5,2,4,2,4,2,1,3,0,0,0,0,0,212,31,13,10,8,3,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_170612,19,2026-01-31T17:07:19+08:00,S2_b90,,24,100,3737,323,1167000,90,0,,ON,0,32.5,39.284,39.284,38.81,34.502,34.869,38.81,38.81,11,16,12,15,6,7,3,3,7,2,46,0,0,118,41,31,18,24,5,3,3,4,5,6,8,4,5,3,3,4,2,3,2,2,0,2,14,0,0,0,0,0,221,23,14,8,14,4,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
