run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,batteryproperties_current_now_uA,batteryproperties_current_average_uA,batteryproperties_energy_counter,batteryproperties_charge_counter_uAh,display_state,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt,cpu_policy0_energy_mJ,cpu_policy0_energy_mJ_matched,cpu_policy0_energy_mJ_unmatched,cpu_policy0_avg_power_mW,cpu_policy0_unmatched_dt_ms,cpu_policy4_energy_mJ,cpu_policy4_energy_mJ_matched,cpu_policy4_energy_mJ_unmatched,cpu_policy4_avg_power_mW,cpu_policy4_unmatched_dt_ms,cpu_policy7_energy_mJ,cpu_policy7_energy_mJ_matched,cpu_policy7_energy_mJ_unmatched,cpu_policy7_avg_power_mW,cpu_policy7_unmatched_dt_ms,cpu_energy_mJ_total,battery_discharge_energy_mJ,dt_s
20260131_150336,10,2026-01-31T15:04:13+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,40.969,40.969,40.969,35.918,36.244,40.969,40.969,10,13,15,13,7,12,6,2,6,67,0,0,0,108,33,25,25,18,5,6,7,5,4,6,2,1,2,2,1,1,1,2,2,5,0,0,0,0,0,0,0,0,255,19,14,9,6,6,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.312,76.312,0.000,211.979,0,87.323,87.323,0.000,241.891,0,254.705,254.705,0.000,707.514,0,418.340,-0.000,4.000
20260131_150336,11,2026-01-31T15:04:17+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,45.322,45.322,45.322,35.865,36.241,45.322,45.322,7,19,11,10,4,6,2,5,4,90,0,0,0,105,42,25,20,14,5,2,6,5,4,5,5,5,6,3,3,4,3,5,1,16,0,0,0,0,0,0,0,0,233,23,11,7,6,6,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.683,79.683,0.000,218.909,0,108.167,108.167,0.000,297.161,0,261.239,261.239,0.000,713.769,0,449.089,-0.000,4.000
20260131_150336,12,2026-01-31T15:04:20+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,42.234,42.234,42.234,35.832,36.194,42.234,42.234,9,18,11,14,7,11,3,2,5,58,0,0,0,118,45,27,22,17,5,10,7,4,10,5,6,4,4,5,3,5,2,3,3,16,0,0,0,0,0,0,0,0,215,23,11,9,5,8,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.853,74.853,0.000,203.958,0,111.064,111.064,0.000,305.961,0,257.535,257.535,0.000,707.514,0,443.452,-0.000,3.000
20260131_150336,13,2026-01-31T15:04:24+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,41.502,41.502,41.502,35.793,36.179,41.502,41.502,7,12,13,19,5,9,3,1,2,71,0,0,0,116,38,26,22,17,3,6,10,6,8,9,5,5,5,5,3,1,2,1,1,12,0,0,0,0,0,0,0,0,223,27,12,6,8,8,0,0,0,0,0,0,0,0,360,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.562,75.562,0.000,209.312,0,103.515,103.515,0.000,282.827,0,258.138,258.138,0.000,711.124,0,437.214,-0.000,4.000
20260131_150336,14,2026-01-31T15:04:28+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,40.861,40.861,40.861,35.762,36.117,40.861,40.861,15,14,14,13,4,7,7,3,6,61,0,0,0,121,42,22,18,17,4,5,4,4,3,6,5,3,2,3,2,4,5,6,4,15,0,0,0,0,0,0,0,0,232,26,14,6,9,3,0,0,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.131,75.131,0.000,206.404,0,108.715,108.715,0.000,297.848,0,261.073,261.073,0.000,707.514,0,444.918,-0.000,4.000
20260131_150336,15,2026-01-31T15:04:31+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,45.813,45.813,45.813,35.751,36.148,45.813,45.813,14,13,19,12,4,12,7,3,4,77,0,0,0,100,34,29,22,17,9,3,4,5,6,6,10,6,6,4,3,7,4,2,3,34,0,0,0,0,0,0,0,0,200,22,8,8,7,7,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.393,79.393,0.000,216.329,0,131.227,131.227,0.000,360.513,0,257.265,257.265,0.000,710.676,0,467.884,-0.000,3.000
20260131_150336,16,2026-01-31T15:04:35+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,42.807,42.807,42.807,35.736,36.11,42.807,42.807,5,10,9,10,7,4,6,2,5,118,0,0,0,90,29,23,18,19,6,3,6,1,6,4,0,2,0,2,0,1,1,8,0,4,0,0,0,0,0,0,0,0,244,21,16,10,10,11,0,0,0,0,0,0,0,0,354,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.640,83.640,0.000,235.606,0,85.862,85.862,0.000,241.186,0,252.528,252.528,0.000,709.348,0,422.030,-0.000,4.000
20260131_150336,17,2026-01-31T15:04:38+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,41.337,41.337,42.054,35.726,36.117,42.054,42.054,6,16,11,11,4,5,7,3,7,66,0,0,0,120,40,25,28,15,6,6,9,4,4,8,6,5,2,3,2,3,3,2,1,14,0,0,0,0,0,0,0,0,234,24,10,4,6,6,0,0,0,0,0,0,0,0,356,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.616,75.616,0.000,207.735,0,102.684,102.684,0.000,283.658,0,259.147,259.147,0.000,715.876,0,437.447,-0.000,3.000
20260131_150336,18,2026-01-31T15:04:42+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.5,41.532,41.277,41.277,35.698,36.036,41.277,41.277,10,19,9,11,7,7,7,7,4,47,0,0,0,121,42,28,24,25,6,3,6,3,7,9,5,6,3,3,2,3,3,5,2,15,0,0,0,0,0,0,0,0,221,25,16,8,9,9,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.422,73.422,0.000,199.517,0,109.311,109.311,0.000,296.236,0,260.365,260.365,0.000,707.514,0,443.099,-0.000,4.000
20260131_150336,19,2026-01-31T15:04:46+08:00,S2_b90,,38,100,3797,335,1830000,90,0,,,,,,,0,33.5,41.412,41.412,41.412,35.661,36.039,41.412,41.412,15,14,6,13,9,8,7,3,4,69,0,0,0,110,39,27,21,16,4,7,2,2,4,5,4,2,4,2,1,9,2,4,2,20,0,0,0,0,0,0,0,0,232,23,12,9,7,4,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.963,75.963,0.000,210.423,0,108.892,108.892,0.000,301.639,0,260.626,260.626,0.000,716.004,0,445.480,314391.600,4.000
