run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,display_state,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt,cpu_policy0_energy_mJ,cpu_policy0_energy_mJ_matched,cpu_policy0_energy_mJ_unmatched,cpu_policy0_avg_power_mW,cpu_policy0_unmatched_dt_ms,cpu_policy4_energy_mJ,cpu_policy4_energy_mJ_matched,cpu_policy4_energy_mJ_unmatched,cpu_policy4_avg_power_mW,cpu_policy4_unmatched_dt_ms,cpu_policy7_energy_mJ,cpu_policy7_energy_mJ_matched,cpu_policy7_energy_mJ_unmatched,cpu_policy7_avg_power_mW,cpu_policy7_unmatched_dt_ms,cpu_energy_mJ_total,battery_discharge_energy_mJ,dt_s
20260131_173835,0,2026-01-31T17:38:36+08:00,S2_b90,,32,100,3910,355,1540000,90,0,,ON,0,35.5,48.399,48.399,48.399,37.416,37.812,48.399,48.399,3,7,6,8,46,0,0,0,0,0,0,0,0,33,18,13,6,5,3,3,2,1,4,0,1,2,1,1,0,1,0,1,5,0,0,0,0,0,0,0,0,0,90,9,4,5,4,3,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.048,29.048,0.000,200.331,0,37.870,37.870,0.000,270.503,0,101.138,101.138,0.000,727.612,0,168.056,,
20260131_173835,1,2026-01-31T17:38:39+08:00,S2_b90,,32,100,3910,355,1540000,90,0,,ON,0,35.5,41.722,41.722,41.159,37.425,37.851,41.159,41.159,9,16,12,14,106,0,0,0,0,0,0,0,0,99,29,26,23,21,5,6,6,3,5,6,3,3,3,5,2,4,3,2,20,0,0,0,0,0,0,0,0,0,216,28,16,6,5,8,0,0,0,0,0,0,0,0,357,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.941,69.941,0.000,197.018,0,107.243,107.243,0.000,302.094,0,263.319,263.319,0.000,731.441,0,440.503,-0.000,3.000
20260131_173835,2,2026-01-31T17:38:43+08:00,S2_b90,,32,100,3910,355,1540000,90,0,,ON,0,35.5,41.652,41.652,41.652,37.433,37.858,41.652,41.652,8,15,17,11,92,0,0,0,0,0,0,0,0,103,38,28,22,14,9,6,4,5,6,7,6,1,5,7,3,1,3,5,12,0,0,0,0,0,0,0,0,0,204,30,18,7,7,5,0,0,0,0,0,0,0,0,345,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.332,67.332,0.000,193.483,0,103.642,103.642,0.000,295.277,0,258.149,258.149,0.000,735.466,0,429.123,-0.000,4.000
20260131_173835,3,2026-01-31T17:38:46+08:00,S2_b90,,32,100,3910,355,1540000,90,0,,ON,0,35.5,41.602,41.602,41.602,37.43,37.843,41.383,41.602,8,14,17,13,109,0,0,0,0,0,0,0,0,91,35,32,19,16,4,6,3,3,5,5,6,3,9,2,2,2,4,3,10,0,0,0,0,0,0,0,0,0,215,34,16,12,5,6,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.143,70.143,0.000,198.143,0,99.995,99.995,0.000,281.677,0,257.575,257.575,0.000,727.612,0,427.713,-0.000,3.000
20260131_173835,4,2026-01-31T17:38:50+08:00,S2_b90,,32,100,3910,355,1540000,90,0,,ON,0,35.6,42.569,42.569,42.569,37.433,37.807,42.569,42.569,11,15,13,13,70,0,0,0,0,0,0,0,0,111,52,31,17,20,3,3,5,4,5,5,3,3,3,5,3,3,2,4,18,0,0,0,0,0,0,0,0,0,229,25,13,4,7,5,0,0,0,0,0,0,0,0,341,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.115,66.115,0.000,187.294,0,104.298,104.298,0.000,296.302,0,258.799,258.799,0.000,739.427,0,429.212,-0.000,4.000
20260131_173835,5,2026-01-31T17:38:53+08:00,S2_b90,,32,100,3910,355,1540000,90,0,,ON,0,35.5,42.162,42.162,42.162,37.43,37.79,42.162,42.162,13,17,15,13,85,0,0,0,0,0,0,0,0,105,34,25,22,23,6,3,3,2,3,3,2,1,1,1,1,3,2,1,6,0,0,0,0,0,0,0,0,0,260,25,12,6,7,5,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.790,67.790,0.000,192.584,0,84.146,84.146,0.000,238.373,0,255.392,255.392,0.000,727.612,0,407.327,-0.000,3.000
20260131_173835,6,2026-01-31T17:38:57+08:00,S2_b90,,32,100,3910,355,1540000,90,0,,ON,0,35.5,41.874,41.874,41.874,37.416,37.79,41.874,41.874,11,19,11,11,69,0,0,0,0,0,0,0,0,114,43,31,22,19,6,4,3,2,2,4,3,3,3,4,2,2,2,4,7,0,0,0,0,0,0,0,0,0,238,30,13,7,5,5,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.442,65.442,0.000,186.978,0,90.631,90.631,0.000,259.688,0,256.847,256.847,0.000,727.612,0,412.920,-0.000,4.000
20260131_173835,7,2026-01-31T17:39:00+08:00,S2_b90,,32,100,3910,355,1540000,90,0,,ON,0,35.5,41.963,41.963,41.756,37.416,37.823,41.756,41.756,9,14,11,14,68,0,0,0,0,0,0,0,0,108,48,30,31,19,6,6,7,4,7,6,8,4,4,4,1,3,6,2,11,0,0,0,0,0,0,0,0,0,215,24,14,7,5,6,0,0,0,0,0,0,0,0,342,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.769,65.769,0.000,186.843,0,102.129,102.129,0.000,291.796,0,256.776,256.776,0.000,735.748,0,424.673,-0.000,3.000
20260131_173835,8,2026-01-31T17:39:04+08:00,S2_b90,,32,100,3910,355,1540000,90,0,,ON,0,35.5,42.339,42.339,42.339,37.422,37.821,42.339,42.339,11,18,13,13,87,0,0,0,0,0,0,0,0,93,42,29,24,20,9,6,8,5,6,8,3,3,5,5,1,3,1,2,16,0,0,0,0,0,0,0,0,0,205,25,18,7,9,7,0,0,0,0,0,0,0,0,347,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.609,67.609,0.000,193.169,0,103.826,103.826,0.000,294.961,0,257.230,257.230,0.000,732.848,0,428.665,-0.000,4.000
