scenario,gamma,p,n_train,train_rmse_pos_mW,beta_0,beta_1,beta_2,beta_3,beta_4
S1-HS-1,0.06,5,19,127.48640819847675,0.7806706034161851,0.47611769109238833,0.004911973418148691,8.727224978864657e-05,0.0
S1-HS-2,0.06,5,19,206.05028602214674,0.5989204207544381,0.8729209994893311,0.0,0.021158034451059227,0.0
S2_b005,0.06,5,19,192.52815581290673,0.3476149383354981,1.1913149772180291,0.0,0.026656987072198376,0.0
S2_b010,0.06,5,19,213.84136399607274,0.27411697337908547,1.3453273200969271,0.0,0.032149569950372436,0.0
S2_b060,0.06,5,19,153.1797905272939,0.4894280742421395,0.853275941719965,0.0014320956903643319,0.01631963134873239,0.0
S2_b150,0.06,5,19,112.55717955119904,0.534023823133832,0.9568247685358737,0.004368823126990308,0.005157437163625352,0.0
S2_b210,0.06,5,19,143.18952433921703,0.4883275449802976,0.5899241800854813,0.0070783861756184814,0.014185272025008803,0.0
S2_b255,0.052000000000000005,5,19,115.15408839696126,0.7624328016977561,0.38680494062907494,0.006279389285581104,0.0,0.0
S2_b30_1,0.06,5,18,162.57276399201925,0.4469616610957812,0.9478972084736802,5.934035744968915e-05,0.01939895827225901,0.0
S2_b90,0.06,5,19,120.99856889185341,0.48562955819692516,0.9170148718520786,0.0049773115641356174,0.008742949907152103,0.0
S3_load_t1,0.06,5,19,129.85235391603305,0.5545990242618142,0.6674996731422167,0.006831545636160955,0.007986129407790993,0.0
S3_load_t2,0.018000000000000002,5,19,70.71280167376253,0.39079695509417556,0.4332734040799259,0.022535925739735677,0.0,0.0
S3_load_t4,0.06,5,19,395.42295752201005,0.37936048972377395,1.7210293206556062,0.0,0.05778884814944839,0.0
S3_load_t6,0.06,5,19,194.73233842178718,0.48343679289387276,1.0209534656786128,0.0,0.0238765706421349,0.0
S3_load_t8,0.06,5,19,403.7538496981918,0.4456844309985867,1.6033437239851454,0.0,0.0603718594979812,0.0
S4,0.06,5,18,234.1402280976075,0.46720661203855246,0.9399428452572957,0.0,0.032508727917438675,0.0
S4-1,0.06,5,18,147.39037736279747,0.5032148421093666,0.7866607066348863,0.00261002635597855,0.014804234753153553,0.0
