subset,n,mae_mW,rmse_mW,bias_mW
v2_1state:all,24,210.46707808251765,293.12489408759933,30.050101605422515
v2_1state:qc_keep,20,194.23139497036422,283.4179564880534,42.40348995426022
v2_2state:all,24,302.785534685793,487.3302001812305,7.28600563496272
v2_2state:qc_keep,20,225.3005894475271,328.82670620173224,-28.870146511435724
