threads,n,raw_mean_mW,raw_std_mW,raw_cv,ref_mean_mW,ref_std_mW,ref_cv,raw_ratio_max_min,ref_ratio_max_min
1.0,1,1921.9240240629333,,,2533.572017993608,,,1.0,1.0
2.0,1,2188.2866001851,,,2594.7533291056343,,,1.0,1.0
4.0,2,3345.899975011569,1130.8105196376086,0.33796901523743217,2717.1159513296852,0.0,0.0,1.628052455432939,1.0
6.0,1,2995.64316705229,,,2839.4785735537343,,,1.0,1.0
8.0,1,3550.946826931976,,,2961.8411957777853,,,1.0,1.0
