t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,wifi_on,cellular_on,gps_on_cfg,screen_on_cfg,brightness_target,cpu_test,brightness_norm
0.0,0.0,77,4158,33.8,42.463,55,ON,1660.0,,0.0,3703000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
0.0,4.0,77,4158,33.8,41.084,55,ON,1660.0,131.26125,0.0,3703000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
4.0,3.0,77,4158,33.8,42.776,55,ON,2048.1240000000003,172.888,0.0,3703000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
7.0,4.0,77,4158,33.8,43.32,55,ON,1927.89,128.533,0.0,3703000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
11.0,4.0,77,4145,33.8,46.189,55,ON,1969.825,128.37525,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
15.0,3.0,77,4145,33.8,41.949,55,ON,1862.003,161.21566666666666,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
18.0,4.0,77,4145,33.8,42.428,55,ON,2014.956,131.5125,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
22.0,3.0,77,4145,33.8,41.713,55,ON,1883.192,175.33900000000003,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
25.0,4.0,77,4145,33.8,45.549,55,ON,2003.001,132.41425,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
29.0,4.0,77,4145,33.8,42.78,55,ON,2145.5560000000005,127.003,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
33.0,3.0,77,4145,33.8,50.887,55,ON,1878.591,173.8216666666667,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
36.0,4.0,77,4145,33.8,41.264,55,ON,1976.688,125.17725,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
40.0,3.0,77,4145,33.8,41.607,55,ON,2822.1559999999995,176.357,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
43.0,4.0,77,4145,33.8,42.309,55,ON,1820.533,129.2855,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
47.0,4.0,77,4145,33.8,41.593,55,ON,1968.4,133.37925,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
51.0,3.0,77,4145,33.8,42.324,55,ON,1894.722,172.50300000000001,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
54.0,4.0,77,4145,33.8,46.919,55,ON,1948.62,128.5375,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
58.0,4.0,77,4145,33.8,43.184,55,ON,1944.474,121.9655,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
62.0,3.0,77,4145,33.8,43.767,55,ON,1935.248,169.84733333333332,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
65.0,4.0,77,4145,33.8,42.568,55,ON,1939.86,130.741,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
69.0,3.0,77,4145,33.8,41.153,55,ON,1853.262,170.885,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
72.0,4.0,77,4145,33.8,43.493,55,ON,1828.827,130.58525,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
76.0,3.0,77,4145,33.8,45.972,55,ON,1721.005,170.96133333333333,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
79.0,4.0,77,4145,33.8,41.725,55,ON,2822.116,124.18275,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
83.0,4.0,77,4145,33.8,41.637,55,ON,2076.645,131.46325,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
87.0,3.0,77,4145,33.8,41.71,55,ON,1973.496,167.898,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
90.0,4.0,77,4145,33.8,43.104,55,ON,1923.28,134.5955,0.0,3667000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
94.0,3.0,76,4145,33.8,42.18,55,ON,1807.656,176.03466666666668,0.0,3655000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
97.0,4.0,76,4145,33.8,42.521,55,ON,1914.99,126.46925,0.0,3655000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
101.0,4.0,76,4145,33.8,41.743,55,ON,1947.21,123.6525,0.0,3655000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
105.0,3.0,76,4145,33.8,42.053,55,ON,2939.985,167.27966666666666,0.0,3655000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
108.0,4.0,76,4145,33.8,42.059,55,ON,2116.051,132.1035,0.0,3655000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
112.0,3.0,76,4145,33.8,40.958,55,ON,1967.925,173.78599999999997,0.0,3655000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
115.0,4.0,76,4145,33.8,53.336,55,ON,2009.84,127.99075,0.0,3655000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
119.0,4.0,76,4145,33.8,41.563,55,ON,2016.18,124.5635,0.0,3655000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
123.0,3.0,76,4145,33.8,41.441,55,ON,1811.365,167.80633333333333,0.0,3655000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
126.0,4.0,76,4145,33.8,41.423,55,ON,2046.642,130.00775,0.0,3655000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
130.0,3.0,76,4145,33.8,41.191,55,ON,1803.0750000000005,171.87166666666667,0.0,3655000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
133.0,4.0,76,4145,33.8,44.118,55,ON,1791.072,126.70325,0.0,3655000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
137.0,4.0,76,4145,33.8,45.342,55,ON,1736.755,129.6845,0.0,3655000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
141.0,3.0,76,4145,33.8,41.994,55,ON,1704.006,162.512,0.0,3655000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
144.0,4.0,76,4145,33.8,42.264,55,ON,2651.8170000000005,131.289,0.0,3655000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
148.0,3.0,76,4145,33.8,49.404,55,ON,1815.51,175.1626666666667,0.0,3655000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
151.0,4.0,76,4145,33.8,45.23,55,ON,1819.655,127.8545,0.0,3655000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
155.0,3.0,76,4143,33.7,43.614,55,ON,2804.9999999999995,174.33833333333334,0.0,3647000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
158.0,4.0,76,4143,33.7,48.525,55,ON,2017.641,130.0705,0.0,3647000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
162.0,4.0,76,4143,33.7,41.608,55,ON,1956.7503234618007,126.52475,0.0,3647000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
166.0,3.0,76,4143,33.7,41.117,55,ON,2046.6039239375184,173.7396666666667,0.0,3647000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
169.0,4.0,76,4143,33.7,41.891,55,ON,1954.696543166297,127.7725,0.0,3647000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
173.0,3.0,76,4143,33.7,43.462,55,ON,1865.0898630911418,173.90566666666666,0.0,3647000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
176.0,4.0,76,4143,33.7,41.861,55,ON,1935.6175691758542,127.96075,0.0,3647000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
180.0,4.0,76,4143,33.7,43.996,55,ON,1898.4974503195185,127.14375,0.0,3647000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
184.0,3.0,76,4143,33.7,41.681,55,ON,2147.1807889714933,163.58566666666667,0.0,3647000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
187.0,4.0,76,4143,33.7,41.815,55,ON,1760.8624454857757,128.245,0.0,3647000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
191.0,3.0,76,4143,33.7,43.189,55,ON,1794.6861941297482,171.511,0.0,3647000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
194.0,4.0,76,4143,33.7,48.046,55,ON,1831.7750309151586,131.255,0.0,3647000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
198.0,4.0,76,4143,33.7,45.906,55,ON,1824.0151475591053,125.3435,0.0,3647000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
202.0,3.0,76,4143,33.7,42.024,55,ON,1720.8812580561419,172.94033333333334,0.0,3647000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
205.0,4.0,76,4143,33.7,41.592,55,ON,1867.8683573014553,125.3205,0.0,3647000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
209.0,3.0,76,4143,33.7,43.609,55,ON,2569.53156514057,170.01533333333333,0.0,3647000,S3_load_t1,20260202_214936,20260202_214935_S3_load_t1,1,1,1,1,0,,1,0.0
