t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,wifi_on,cellular_on,gps_on_cfg,screen_on_cfg,brightness_target,cpu_test,brightness_norm
0.0,0.0,97,4360,34.6,41.396,55,ON,1604.112,,0.0,4619000,S4-1,20260202_005707,20260202_005707_S4-1,1,1,1,1,0,,0,0.0
0.0,4.0,97,4360,34.6,41.198,55,ON,1604.112,123.98075,0.0,4619000,S4-1,20260202_005707,20260202_005707_S4-1,1,1,1,1,0,,0,0.0
4.0,3.0,97,4360,34.6,41.295,55,ON,1422.012,162.18133333333333,0.0,4619000,S4-1,20260202_005707,20260202_005707_S4-1,1,1,1,1,0,,0,0.0
7.0,4.0,97,4360,34.6,41.561,55,ON,1691.6799999999998,119.2825,0.0,4619000,S4-1,20260202_005707,20260202_005707_S4-1,1,1,1,1,0,,0,0.0
11.0,3.0,97,4360,34.6,41.099,55,ON,1560.522,165.427,0.0,4619000,S4-1,20260202_005707,20260202_005707_S4-1,1,1,1,1,0,,0,0.0
14.0,4.0,97,4360,34.6,40.662,55,ON,1635.0000000000002,124.29725,0.0,4619000,S4-1,20260202_005707,20260202_005707_S4-1,1,1,1,1,0,,0,0.0
18.0,4.0,97,4360,34.6,41.248,55,ON,1700.0099999999998,123.39375,0.0,4619000,S4-1,20260202_005707,20260202_005707_S4-1,1,1,1,1,0,,0,0.0
22.0,3.0,97,4360,34.6,47.343,55,ON,1482.7399999999998,164.55766666666668,0.0,4619000,S4-1,20260202_005707,20260202_005707_S4-1,1,1,1,1,0,,0,0.0
25.0,4.0,97,4360,34.6,42.086,55,ON,1613.2000000000005,115.17575,0.0,4619000,S4-1,20260202_005707,20260202_005707_S4-1,1,1,1,1,0,,0,0.0
29.0,3.0,97,4360,34.6,41.28,55,ON,1630.266,166.48566666666667,0.0,4619000,S4-1,20260202_005707,20260202_005707_S4-1,1,1,1,1,0,,0,0.0
32.0,4.0,97,4360,34.6,42.553,55,ON,1743.1999999999996,123.4465,0.0,4619000,S4-1,20260202_005707,20260202_005707_S4-1,1,1,1,1,0,,0,0.0
