t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,wifi_on,cellular_on,gps_on_cfg,screen_on_cfg,brightness_target,cpu_test,brightness_norm
0.0,0.0,56,3926,28.9,36.029,90,ON,1557.034,,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
0.0,4.0,56,3926,28.9,35.027,90,ON,1557.034,113.82825,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
4.0,3.0,56,3926,28.9,45.015,90,ON,1560.558,151.523,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
7.0,4.0,56,3926,28.9,35.084,90,ON,1451.88,118.1685,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
11.0,4.0,56,3926,28.9,34.634,90,ON,1528.41,109.2225,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
15.0,3.0,56,3926,28.9,39.688,90,ON,1502.126,153.16033333333334,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
18.0,4.0,56,3926,28.9,36.565,90,ON,1431.895,114.419,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
22.0,3.0,56,3926,28.9,38.235,90,ON,1435.818,162.19166666666666,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
25.0,4.0,56,3926,28.9,35.243,90,ON,1978.085,111.454,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
29.0,3.0,56,3926,28.9,35.995,90,ON,1588.8149999999998,156.84866666666667,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
32.0,4.0,56,3926,28.9,35.817,90,ON,1443.296,116.273,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
36.0,4.0,56,3926,28.9,36.88,90,ON,1384.466,114.79225,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
40.0,3.0,56,3926,28.9,44.892,90,ON,1747.8740000000005,156.02933333333334,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
43.0,4.0,56,3926,28.9,39.592,90,ON,1603.2799999999995,112.252,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
47.0,3.0,56,3926,28.9,39.313,90,ON,1894.86,147.75733333333332,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
50.0,4.0,56,3926,28.9,36.622,90,ON,1505.6640000000002,116.0465,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
54.0,4.0,56,3926,28.9,35.14,90,ON,1517.814,117.7225,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
58.0,3.0,56,3926,28.9,37.181,90,ON,1657.737,160.62166666666667,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
61.0,4.0,56,3926,28.9,38.018,90,ON,1576.242,109.82,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
65.0,3.0,56,3926,28.9,40.04,90,ON,1595.44,153.78133333333332,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
68.0,4.0,56,3926,28.9,36.765,90,ON,1403.718,112.029,855.441,2686000,S2_b90,20260201_183738,20260201_183735_S2_b90,1,1,1,1,1,90.0,0,0.35294117647058826
