t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,wifi_on,cellular_on,gps_on_cfg,screen_on_cfg,brightness_target,cpu_test,brightness_norm
92.0,3.0,62,4011,32.8,39.636,64,OFF,1150.1100028693004,140.75933333333333,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
95.0,4.0,62,4011,32.6,38.788,64,OFF,1201.0378839210327,109.85675,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
99.0,3.0,62,4011,32.6,37.796,64,OFF,976.6403372029538,141.261,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
102.0,4.0,62,4011,32.6,37.916,64,OFF,1183.156629826338,107.687,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
106.0,3.0,62,4011,32.6,39.352,64,OFF,985.2117675180624,140.66666666666666,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
109.0,4.0,62,4011,32.6,38.552,64,OFF,1464.5623164267654,110.999,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
113.0,3.0,62,4011,32.6,40.417,64,OFF,1133.9371611141967,154.72666666666666,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
116.0,4.0,62,4011,32.6,37.431,64,OFF,1264.4435768788176,104.08925,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
120.0,4.0,62,4011,32.6,39.142,64,OFF,1245.1150392720947,104.08825,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
124.0,3.0,62,4011,32.6,38.076,64,OFF,1179.9670877973656,138.92833333333334,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
127.0,3.0,62,4037,32.5,37.517,64,OFF,1019.357291607348,139.69333333333333,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
130.0,4.0,62,4037,32.5,41.188,64,OFF,1170.6044222734527,112.37225,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
134.0,4.0,62,4037,32.5,38.291,64,OFF,1176.3175558910086,106.4615,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
138.0,3.0,62,4037,32.5,38.682,64,OFF,1062.2173100681657,142.612,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
141.0,4.0,62,4037,32.5,37.542,64,OFF,1147.7940152417736,106.24725,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
145.0,3.0,62,4037,32.5,37.404,64,OFF,972.1917001512119,141.214,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
148.0,4.0,62,4037,32.5,37.989,64,OFF,1101.6805541455656,104.8405,0.0,2952000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
