t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,wifi_on,cellular_on,gps_on_cfg,screen_on_cfg,brightness_target,cpu_test,brightness_norm
0.0,0.0,75,4136,33.6,43.149,55,ON,1591.59,,0.0,3609000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
0.0,4.0,75,4136,33.6,42.361,55,ON,1591.59,132.82925,0.0,3609000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
4.0,3.0,75,4136,33.6,45.859,55,ON,2317.5329280897236,190.32133333333334,0.0,3609000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
7.0,4.0,75,4136,33.6,43.256,55,ON,1893.3009299741382,128.508,0.0,3609000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
11.0,3.0,75,4136,33.6,43.362,55,ON,1897.3965983769526,183.84833333333333,0.0,3609000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
14.0,4.0,75,4136,33.6,47.37,55,ON,1860.6195727611848,136.37875,0.0,3609000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
18.0,4.0,75,4136,33.6,42.795,55,ON,2116.3642443370222,127.1525,0.0,3609000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
22.0,3.0,75,4136,33.6,47.046,55,ON,1893.3358296696447,186.98733333333334,0.0,3609000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
25.0,4.0,75,4136,33.6,41.513,55,ON,1960.7665221408697,136.47,0.0,3609000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
29.0,4.0,75,4136,33.7,42.822,55,ON,1885.728015345788,137.15,0.0,3609000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
33.0,3.0,75,4136,33.7,45.425,55,ON,1928.787216986148,197.333,0.0,3609000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
36.0,4.0,75,4136,33.7,44.285,55,ON,1937.7067904476423,153.248,0.0,3609000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
40.0,4.0,75,4136,33.7,44.371,55,ON,1997.952,129.78125,0.0,3609000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
44.0,3.0,75,4136,33.7,45.122,55,ON,2628.2070000000003,170.90866666666668,0.0,3609000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
47.0,4.0,75,4136,33.7,44.685,55,ON,1970.01,133.5685,0.0,3609000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
51.0,3.0,75,4136,33.7,42.141,55,ON,2034.611,179.69933333333333,0.0,3609000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
54.0,4.0,75,4129,33.7,44.876,55,ON,1986.53,134.9235,0.0,3593000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
58.0,3.0,75,4129,33.7,46.594,55,ON,1981.92,198.837,0.0,3593000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
61.0,4.0,75,4129,33.7,43.797,55,ON,2741.37,145.29575,0.0,3593000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
65.0,3.0,75,4129,33.7,42.611,55,ON,3841.542,193.78333333333333,0.0,3593000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
68.0,4.0,75,4129,33.7,42.927,55,ON,1783.7280000000003,134.9285,0.0,3593000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
72.0,4.0,75,4129,33.7,45.766,55,ON,2034.611,135.78275,0.0,3593000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
76.0,3.0,75,4129,33.7,43.119,55,ON,2058.375,179.14733333333334,0.0,3593000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
79.0,4.0,75,4129,33.7,47.476,55,ON,1943.817,132.901,0.0,3593000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
83.0,3.0,75,4129,33.7,45.619,55,ON,1957.146,174.31166666666664,0.0,3593000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
86.0,4.0,75,4129,33.7,43.563,55,ON,1890.166,132.9935,0.0,3593000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
90.0,4.0,75,4129,33.7,44.486,55,ON,1976.833,134.7225,0.0,3593000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
94.0,3.0,75,4129,33.7,45.177,55,ON,1894.752,178.215,0.0,3593000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
97.0,4.0,75,4129,33.7,43.475,55,ON,1841.5340000000003,134.47675,0.0,3593000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
101.0,3.0,75,4129,33.7,43.667,55,ON,2046.0,180.06266666666667,0.0,3593000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
104.0,4.0,75,4129,33.7,45.153,55,ON,2497.198,131.05225,0.0,3593000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
108.0,4.0,75,4129,33.7,43.454,55,ON,3045.4190000000003,134.30475,0.0,3593000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
112.0,3.0,75,4129,33.7,43.654,55,ON,2107.875,179.713,0.0,3593000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
115.0,4.0,75,4129,33.7,43.8,55,ON,2021.25,136.6195,0.0,3593000,S3_load_t2,20260202_215853,20260202_215851_S3_load_t2,1,1,1,1,0,,1,0.0
