t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,wifi_on,cellular_on,gps_on_cfg,screen_on_cfg,brightness_target,cpu_test,brightness_norm
0.0,0.0,69,4046,36.3,57.426,55,ON,1670.304,,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
0.0,3.0,69,4046,36.3,56.384,55,ON,1670.304,246.455,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
3.0,4.0,69,4046,36.3,56.221,55,ON,3320.9824812381844,186.5765,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
7.0,3.0,69,4046,36.3,61.158,55,ON,3650.5494258834005,248.67,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
10.0,4.0,69,4046,36.4,58.282,55,ON,3615.2420285221788,183.66575,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
14.0,4.0,69,4046,36.4,57.854,55,ON,3643.551164426619,184.65525,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
18.0,3.0,69,4046,36.4,58.757,55,ON,3486.702054985884,251.11666666666667,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
21.0,4.0,69,4046,36.4,61.679,55,ON,3487.186116334251,192.31775,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
25.0,3.0,69,4046,36.4,61.018,55,ON,3763.8597128155607,247.56833333333336,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
28.0,4.0,69,4046,36.4,62.395,55,ON,5239.9284694673115,190.158,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
32.0,3.0,69,4046,36.4,59.751,55,ON,3722.1130479567837,247.678,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
35.0,4.0,69,4046,36.4,58.609,55,ON,3304.8352032811013,183.126,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
39.0,4.0,69,4046,36.4,59.637,55,ON,3504.0157101992204,186.80275,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
43.0,3.0,69,4046,36.5,59.612,55,ON,3412.4585194858446,248.50866666666664,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
46.0,4.0,69,4046,36.5,58.427,55,ON,3472.167706353716,186.91775,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
50.0,3.0,69,4046,36.5,60.764,55,ON,3346.385362129105,249.06066666666666,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
53.0,4.0,69,4046,36.5,58.167,55,ON,3521.0442292651724,174.8955,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
57.0,3.0,69,4046,36.5,58.746,55,ON,3521.907951738458,228.183,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
60.0,4.0,69,4046,36.5,57.823,55,ON,3459.9501838351816,171.386,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
64.0,4.0,69,4046,36.5,58.3,55,ON,3234.552013658166,169.47675,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
68.0,3.0,69,4046,36.5,56.379,55,ON,3331.0570394366227,242.0136666666667,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
71.0,4.0,69,4046,36.6,59.412,55,ON,3872.203106393504,172.23625,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
75.0,4.0,69,4046,36.6,59.916,55,ON,3708.029505589166,171.67825,0.0,3324000,S3_load_t8,20260202_222648,20260202_222646_S3_load_t8,1,1,1,1,0,,1,0.0
