t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,brightness_norm
110.0,3.0,58,3962,28.6,37.169,30,ON,1950.806,157.09,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
113.0,4.0,58,3962,28.6,38.709,30,ON,1987.856,113.362,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
117.0,3.0,58,3962,28.6,36.222,30,ON,2014.5,145.88633333333334,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
120.0,4.0,58,3962,28.6,35.098,30,ON,1864.872,115.537,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
124.0,4.0,57,3947,28.6,37.96,30,ON,1924.137,115.072,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
128.0,3.0,57,3947,28.6,35.633,30,ON,2002.65,151.11233333333334,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
131.0,4.0,57,3947,28.6,38.738,30,ON,2469.57,113.51,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
135.0,3.0,57,3947,28.6,35.013,30,ON,2108.232,142.672,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
138.0,4.0,57,3947,28.6,44.176,30,ON,1938.959,116.391,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
142.0,3.0,57,3947,28.6,36.057,30,ON,1860.45,151.29966666666667,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
145.0,4.0,57,3947,28.6,38.811,30,ON,2025.837,113.80325,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
149.0,3.0,57,3947,28.6,35.887,30,ON,1781.45,156.23499999999999,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
152.0,4.0,57,3947,28.6,34.513,30,ON,1966.104,108.549,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
156.0,4.0,57,3947,28.7,36.168,30,ON,2188.92,113.10525,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
160.0,3.0,57,3947,28.7,36.157,30,ON,1860.1320182134352,155.98766666666668,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
163.0,4.0,57,3947,28.7,34.315,30,ON,1807.9338354474685,114.76175,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
167.0,3.0,57,3947,28.7,35.838,30,ON,2060.4305012768937,150.86933333333334,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
170.0,4.0,57,3947,28.7,46.154,30,ON,2022.8525399516232,124.33225,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
174.0,3.0,57,3947,28.7,37.311,30,ON,1738.6931803281107,147.25866666666667,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
177.0,4.0,57,3947,28.7,35.154,30,ON,1871.915542467284,111.91825,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
181.0,3.0,57,3947,28.7,35.351,30,ON,1873.0880130023468,153.26033333333334,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
184.0,4.0,57,3947,28.7,39.036,30,ON,1920.742240744169,113.08775,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
188.0,4.0,57,3947,28.7,36.956,30,ON,1927.34982189195,114.46225,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
192.0,3.0,57,3947,28.7,34.974,30,ON,2943.0785802529313,145.73166666666665,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
195.0,4.0,57,3947,28.7,36.541,30,ON,1942.8092827223822,116.015,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
199.0,3.0,57,3947,28.7,37.584,30,ON,1774.5277460015063,149.40966666666665,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
202.0,4.0,57,3947,28.7,38.192,30,ON,2042.913760736622,115.716,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
206.0,3.0,57,3947,28.7,35.3,30,ON,1871.1287045499291,154.884,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
209.0,4.0,57,3947,28.7,37.851,30,ON,2026.5225303031993,111.046,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
213.0,3.0,57,3947,28.7,34.416,30,ON,1768.9112966515356,150.50866666666667,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
216.0,4.0,57,3947,28.7,35.661,30,ON,2037.6058389230593,116.26,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
220.0,4.0,57,3947,28.7,35.13,30,ON,1798.7231530398665,125.24275,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
224.0,4.0,57,3947,28.7,35.626,30,ON,2150.003808547871,114.1645,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
228.0,3.0,57,3947,28.7,38.149,30,ON,1905.5493236938119,151.87633333333335,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
231.0,4.0,57,3947,28.7,34.697,30,ON,2007.893721980027,110.4575,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
235.0,3.0,57,3947,28.7,35.887,30,ON,1717.8587673451032,148.576,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
238.0,4.0,57,3947,28.7,35.111,30,ON,1785.942659713905,116.35075,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
242.0,3.0,57,3947,28.7,35.196,30,ON,1736.505121992915,150.20333333333335,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
245.0,4.0,57,3947,28.7,37.96,30,ON,1813.71435033149,112.5745,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
249.0,3.0,57,3947,28.7,38.577,30,ON,2181.022908846346,151.38433333333333,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
252.0,4.0,57,3947,28.7,34.946,30,ON,2007.87,110.0505,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
256.0,4.0,57,3947,28.7,38.003,30,ON,1829.088,111.9105,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
260.0,3.0,57,3947,28.7,35.768,30,ON,1754.19,154.043,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
263.0,4.0,57,3947,28.7,34.726,30,ON,2413.634,115.38975,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
267.0,3.0,57,3947,28.7,38.886,30,ON,1816.801,152.63666666666668,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
270.0,4.0,57,3947,28.7,36.88,30,ON,1804.062,108.58525,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
274.0,3.0,57,3947,28.7,38.831,30,ON,1922.232,152.79633333333334,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
