t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,wifi_on,cellular_on,gps_on_cfg,screen_on_cfg,brightness_target,cpu_test,brightness_norm
114.0,4.0,98,4376,35.4,41.741,90,OFF,2155.816,127.754,0.0,4707000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1.0,0.0,,0,0.0
118.0,3.0,98,4364,35.4,43.856,90,OFF,1668.576,173.55966666666666,0.0,4684000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1.0,0.0,,0,0.0
121.0,4.0,98,4364,35.4,44.637,90,OFF,1886.112,129.23275,0.0,4684000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1.0,0.0,,0,0.0
125.0,4.0,98,4364,35.4,43.188,90,OFF,1877.38,124.96,0.0,4684000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1.0,0.0,,0,0.0
129.0,4.0,98,4364,35.4,43.741,90,OFF,1773.408,124.86725,0.0,4684000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1.0,0.0,,0,0.0
133.0,3.0,98,4364,35.4,44.198,90,OFF,1986.075,168.63899999999998,0.0,4684000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1.0,0.0,,0,0.0
136.0,4.0,98,4364,35.4,47.547,90,OFF,1974.336,129.1845,0.0,4684000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1.0,0.0,,0,0.0
140.0,4.0,98,4364,35.4,43.825,90,OFF,1663.827,129.134,0.0,4684000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1.0,0.0,,0,0.0
144.0,4.0,98,4364,35.4,44.16,90,OFF,1655.0929999999998,123.94425,0.0,4684000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1.0,0.0,,0,0.0
148.0,3.0,98,4364,35.4,42.807,90,OFF,1620.899,171.22966666666665,0.0,4684000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1.0,0.0,,0,0.0
151.0,4.0,98,4364,35.4,44.011,90,OFF,1690.0289999999998,133.906,0.0,4684000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1.0,0.0,,0,0.0
155.0,4.0,98,4364,35.4,43.528,90,OFF,1568.83,130.85475,0.0,4684000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1.0,0.0,,0,0.0
159.0,4.0,98,4364,35.4,45.097,90,OFF,1654.335,129.226,0.0,4684000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1.0,0.0,,0,0.0
163.0,4.0,98,4364,35.4,43.992,90,OFF,1520.4119999999998,126.30575,0.0,4684000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1.0,0.0,,0,0.0
167.0,3.0,98,4369,35.5,43.992,90,OFF,1442.1,165.771,0.0,4678000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1.0,0.0,,0,0.0
170.0,4.0,98,4369,35.5,44.701,90,OFF,1972.076,129.605,0.0,4678000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1.0,0.0,,0,0.0
174.0,4.0,98,4369,35.5,44.317,90,OFF,1664.208,131.823,0.0,4678000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1.0,0.0,,0,0.0
178.0,4.0,98,4369,35.5,43.356,90,OFF,1494.54,132.28425,0.0,4678000,S1-HS-1,20260131_230813,20260131_230812_S1-HS-1,1,1,1,1.0,0.0,,0,0.0
