covariate,r_before,r_after
thermal_cpu0_C,0.6167047388740758,0.34309939759195174
battery_level0_pct,-0.2158084076540227,-0.02159125310441782
perfetto_voltage_mean_V,-0.2708188252242883,-0.06131460104787618
perfetto_current_mean_uA,0.8908956949945606,0.5762460070688055
