scenario,beta_0,beta_1,beta_2
S1-HS-1,0.10448193139946228,0.9880161531896918,0.028526790011396016
S1-HS-2,0.10272392933716794,1.017844518616638,0.028073184314096663
S2_b005,0.09032316774291996,1.0335246728694867,0.028495969938432116
S2_b010,0.03976358298359309,1.1216535668528305,0.0303911474261561
S2_b060,0.1198020942041701,0.9622508651414746,0.02796528170136331
S2_b150,0.10130815338275541,1.3158765079902857,0.022450834487817425
S2_b210,0.10454033080975582,0.8786824145044335,0.030568025336949523
S2_b255,0.1512187157756686,0.862685204593478,0.028176467688201617
S2_b30_1,0.11960380558003837,0.9750160247751034,0.027713415980446465
S2_b90,0.10450343911166748,1.202932020406854,0.024391229221173847
S3_load_t1,0.07370728138330998,0.9814829912030343,0.030686028524575016
S3_load_t2,0.0,0.8709952176783319,0.03794971241837717
S3_load_t4,0.1254500130075393,1.0206286452370226,0.02797410449017587
S3_load_t6,0.09566009296583672,0.9742358147336269,0.028648722115632203
S3_load_t8,0.146702704824266,0.9347949684880266,0.02241424964476478
S4,0.15778407451885434,0.790648268836383,0.02917188038099592
S4-1,0.13556471673983023,0.9181235465787836,0.02771861404091693
